Unnamed: 0,smog_index,masc,femn,neut,sing,plur,past,pres,futr,pssv,actv,3per,1per,2per,mttr,hdd,author,author_num
0 anton-chekhov antreprener-pod-divanom,8.368421193203732,0.16952789699570817,0.20386266094420602,0.06437768240343347,0.49141630901287553,0.11158798283261803,0.0815450643776824,0.06437768240343347,0.017167381974248927,0.002145922746781116,0.004291845493562232,0.045064377682403435,0.07296137339055794,0.034334763948497854,0.0240799781378653,0.920588784375736,anton-chekhov,0.0
1 anton-chekhov anyuta,9.369394353235146,0.1843687374749499,0.16432865731462926,0.09619238476953908,0.43687374749499,0.13026052104208416,0.11823647294589178,0.02404809619238477,0.022044088176352707,0.022044088176352707,0.0,0.06012024048096192,0.008016032064128256,0.01603206412825651,0.0263189812707867,0.8998461459499808,anton-chekhov,0.0
2 anton-chekhov anyuta,9.489769064971876,0.20638297872340425,0.14468085106382977,0.06808510638297872,0.44468085106382976,0.08936170212765958,0.09574468085106383,0.06595744680851064,0.00851063829787234,0.00425531914893617,0.00425531914893617,0.04893617021276596,0.023404255319148935,0.031914893617021274,0.0249216524142721,0.9231463785907578,anton-chekhov,0.0
3 anton-chekhov aptekarsha,10.07492607739044,0.16837782340862423,0.20123203285420946,0.055441478439425054,0.48254620123203285,0.08008213552361396,0.039014373716632446,0.11704312114989733,0.01026694045174538,0.006160164271047228,0.004106776180698152,0.14168377823408623,0.012320328542094456,0.004106776180698152,0.0232182381816803,0.91539305442603,anton-chekhov,0.0
4 anton-chekhov aptekarsha,9.026141024533189,0.1655773420479303,0.13725490196078433,0.058823529411764705,0.40305010893246185,0.1503267973856209,0.013071895424836602,0.13071895424836602,0.013071895424836602,0.002178649237472767,0.0,0.11764705882352941,0.0196078431372549,0.04793028322440087,0.0252551686150506,0.908722655744952,anton-chekhov,0.0
5 anton-chekhov ariadna,16.538836803438706,0.17857142857142858,0.12896825396825398,0.057539682539682536,0.34523809523809523,0.25396825396825395,0.057539682539682536,0.08333333333333333,0.007936507936507936,0.011904761904761904,0.001984126984126984,0.0496031746031746,0.10515873015873016,0.007936507936507936,0.0255447557674395,0.8952027745633827,anton-chekhov,0.0
6 anton-chekhov ariadna,15.932789427553336,0.2152917505030181,0.15694164989939638,0.052313883299798795,0.4426559356136821,0.15090543259557343,0.06237424547283702,0.06237424547283702,0.012072434607645875,0.008048289738430584,0.002012072434607646,0.08853118712273642,0.04627766599597585,0.008048289738430584,0.0226781033828441,0.9083830128163592,anton-chekhov,0.0
7 anton-chekhov ariadna,15.260896094576417,0.1397459165154265,0.24319419237749546,0.0780399274047187,0.4627949183303085,0.14337568058076225,0.11252268602540835,0.02722323049001815,0.003629764065335753,0.0018148820326678765,0.0,0.0852994555353902,0.045372050816696916,0.009074410163339383,0.0263945291843783,0.8918861541825865,anton-chekhov,0.0
8 anton-chekhov ariadna,15.707490220338636,0.15853658536585366,0.22154471544715448,0.08333333333333333,0.4959349593495935,0.07520325203252033,0.11788617886178862,0.032520325203252036,0.0020325203252032522,0.008130081300813009,0.0020325203252032522,0.08739837398373984,0.04878048780487805,0.006097560975609756,0.0312670592335469,0.8735563229485926,anton-chekhov,0.0
9 anton-chekhov ariadna,13.28222732573772,0.26294820717131473,0.13745019920318724,0.08366533864541832,0.4601593625498008,0.12749003984063745,0.12151394422310757,0.027888446215139442,0.00398406374501992,0.00199203187250996,0.0,0.07768924302788845,0.04183266932270916,0.0099601593625498,0.0262553373969825,0.8959211748375258,anton-chekhov,0.0
10 anton-chekhov ariadna,13.33547594058045,0.18052738336713997,0.16835699797160245,0.05476673427991886,0.4300202839756592,0.11764705882352941,0.08113590263691683,0.030425963488843813,0.014198782961460446,0.0,0.0,0.07505070993914807,0.04462474645030426,0.032454361054766734,0.0317798138012575,0.8888698851805147,anton-chekhov,0.0
11 anton-chekhov ariadna,13.31173065629068,0.198,0.142,0.104,0.5,0.072,0.078,0.042,0.014,0.008,0.002,0.088,0.056,0.02,0.0285002466351927,0.8933347598715118,anton-chekhov,0.0
12 anton-chekhov ariadna,14.666898895912682,0.1701720841300191,0.20076481835564053,0.0841300191204589,0.4837476099426386,0.11854684512428298,0.11089866156787763,0.028680688336520075,0.0019120458891013384,0.009560229445506692,0.0038240917782026767,0.045889101338432124,0.05927342256214149,0.0057361376673040155,0.0232683592652677,0.9156953879542804,anton-chekhov,0.0
13 anton-chekhov ariadna,13.785958347495743,0.15811088295687886,0.21149897330595482,0.057494866529774126,0.40451745379876797,0.19507186858316222,0.09650924024640657,0.03696098562628337,0.01026694045174538,0.006160164271047228,0.002053388090349076,0.06981519507186858,0.053388090349075976,0.02053388090349076,0.0243181744513402,0.8880929969876726,anton-chekhov,0.0
14 anton-chekhov ariadna,11.952767535325558,0.1901840490797546,0.12474437627811862,0.07157464212678936,0.39059304703476483,0.18404907975460122,0.1165644171779141,0.014314928425357873,0.00408997955010225,0.0,0.0,0.03885480572597137,0.0736196319018405,0.010224948875255624,0.0258395830762018,0.883406968556414,anton-chekhov,0.0
15 anton-chekhov ariadna,10.631470290725838,0.19834710743801653,0.15289256198347106,0.05991735537190083,0.4607438016528926,0.12190082644628099,0.12396694214876033,0.03305785123966942,0.006198347107438017,0.008264462809917356,0.002066115702479339,0.05165289256198347,0.08677685950413223,0.012396694214876033,0.0247406445875046,0.9032749157899684,anton-chekhov,0.0
16 anton-chekhov ariadna,13.81234830140666,0.20233463035019456,0.1556420233463035,0.06420233463035019,0.45136186770428016,0.0933852140077821,0.08949416342412451,0.0311284046692607,0.007782101167315175,0.011673151750972763,0.0,0.048638132295719845,0.048638132295719845,0.005836575875486381,0.0237307195659639,0.903715719166316,anton-chekhov,0.0
17 anton-chekhov ariadna,11.494687189472016,0.17634854771784234,0.24273858921161826,0.06224066390041494,0.5124481327800829,0.0954356846473029,0.12863070539419086,0.026970954356846474,0.004149377593360996,0.006224066390041493,0.0,0.07676348547717843,0.07261410788381743,0.014522821576763486,0.0276086037251567,0.8827526566397327,anton-chekhov,0.0
18 anton-chekhov ariadna,15.157770186231986,0.18271119842829076,0.21218074656188604,0.09430255402750491,0.47347740667976423,0.12966601178781925,0.1237721021611002,0.015717092337917484,0.005893909626719057,0.0019646365422396855,0.0,0.09430255402750491,0.0412573673870334,0.011787819253438114,0.0260490817470174,0.900343129332687,anton-chekhov,0.0
19 anton-chekhov ariadna,12.335814640442464,0.146,0.204,0.078,0.462,0.104,0.11,0.04,0.0,0.008,0.0,0.068,0.064,0.006,0.0238762649102108,0.8970025234523187,anton-chekhov,0.0
20 anton-chekhov ariadna,14.25277119710866,0.12423625254582485,0.18329938900203666,0.10183299389002037,0.4684317718940937,0.10183299389002037,0.05702647657841141,0.07535641547861507,0.010183299389002037,0.006109979633401222,0.0,0.12627291242362526,0.03665987780040733,0.0,0.0258620392771263,0.915743243334836,anton-chekhov,0.0
21 anton-chekhov babe-carstvo,16.19166451557377,0.15904572564612326,0.16699801192842942,0.05964214711729622,0.3379721669980119,0.2286282306163022,0.05964214711729622,0.027833001988071572,0.04771371769383698,0.011928429423459244,0.011928429423459244,0.11928429423459244,0.0,0.0,0.0245426455009844,0.9150015508866436,anton-chekhov,0.0
22 anton-chekhov babe-carstvo,14.8643874973985,0.2261904761904762,0.19047619047619047,0.09126984126984126,0.45436507936507936,0.1865079365079365,0.1130952380952381,0.037698412698412696,0.015873015873015872,0.005952380952380952,0.001984126984126984,0.06746031746031746,0.00992063492063492,0.003968253968253968,0.0211766480981503,0.9033534635853888,anton-chekhov,0.0
23 anton-chekhov babe-carstvo,18.528690429789663,0.22586872586872586,0.21042471042471042,0.06177606177606178,0.4613899613899614,0.13513513513513514,0.0888030888030888,0.03088803088803089,0.0,0.005791505791505791,0.011583011583011582,0.06563706563706563,0.005791505791505791,0.0,0.0246451659543043,0.8823660052486296,anton-chekhov,0.0
24 anton-chekhov babe-carstvo,12.75995934952849,0.2648870636550308,0.21765913757700206,0.0513347022587269,0.4948665297741273,0.14168377823408623,0.11293634496919917,0.018480492813141684,0.002053388090349076,0.004106776180698152,0.004106776180698152,0.055441478439425054,0.002053388090349076,0.012320328542094456,0.0214285771238176,0.907507644945413,anton-chekhov,0.0
25 anton-chekhov babe-carstvo,10.286000299319046,0.19506726457399104,0.2600896860986547,0.0515695067264574,0.49551569506726456,0.12556053811659193,0.10986547085201794,0.026905829596412557,0.020179372197309416,0.008968609865470852,0.004484304932735426,0.06053811659192825,0.042600896860986545,0.026905829596412557,0.0262078155557219,0.919588257734786,anton-chekhov,0.0
