,n_sents,n_words,n_unique_words,n_long_words,n_complex_words,n_simple_words,n_monosyllable_words,n_polysyllable_words,n_chars,n_letters,n_spaces,n_syllables,n_punctuations,flesch_kincaid_grade,flesch_reading_easy,coleman_liau_index,smog_index,automated_readability_index,lix,,femn,masc,neut,plur,sing,pres,actv,3per,ttr,rttr,cttr,httr,sttr,mttr,dttr,mattr,msttr,mtld,mamtld,hdd,simpson_index,hapax_index,author,1per,2per,futr,past,pssv
malchik-u-khrista-na-yolke. Text/chapter2.xhtml,74.0,1420.0,669.0,509.0,110.0,1262.0,548.0,824.0,8257.0,6426.0,1416.0,2729.0,384.0,6.842068899885803,66.38701180053295,2.6712717929196828,10.829271900397666,2.6712717929196828,55.034259611724394,1217.0,180.0,307.0,62.0,225.0,533.0,94.0,7.0,183.0,0.47112676056338026,17.753416651926507,12.553561303807406,0.8963095405921045,0.9046540154857223,0.03289371024470449,30.40094876986364,0.8261998541210807,0.8157142857142857,122.94518377693282,138.71408252764184,0.8782344677078731,102.79461279461279,1212.0005186162443,fedor-dostoevskii,17.0,3.0,11.0,125.0,1.0
malchik-u-khrista-na-yolke. Text/annotation.xhtml,6.0,135.0,106.0,69.0,36.0,77.0,20.0,93.0,957.0,751.0,123.0,320.0,41.0,11.738703703703703,35.12574074074075,10.09539814814815,21.706315476091497,10.09539814814815,73.61111111111111,129.0,14.0,66.0,7.0,14.0,80.0,5.0,1.0,6.0,0.7851851851851852,9.123027437733027,6.450954566171957,0.950698850676139,0.9331490695207784,0.023142453099586454,43.21063094291718,0.8946511627906975,0.8400000000000001,130.68481593149056,17.708333333333336,0.9097827946067671,192.4468085106383,1254.529885891504,fedor-dostoevskii,,,,7.0,5.0
bednye-lyudi. Text/chapter1.xhtml,2648.0,41548.0,9153.0,15542.0,4866.0,35154.0,15388.0,24632.0,251707.0,197604.0,41527.0,84274.0,12328.0,5.905237904864233,64.53356778328245,3.1339561630314705,12.034943915790869,3.1339561630314705,53.0976684194774,34480.0,5392.0,6980.0,3087.0,5279.0,18318.0,2180.0,31.0,2541.0,0.22029941272744777,44.904348616746795,31.75216941166642,0.85775045347624,0.8997163642662882,0.030799610859898675,32.467942681120284,0.8425311453287724,0.8425301204819272,137.6124869379072,150.95057502996917,0.9064521371601857,166.62349577966944,1325.6064369818214,fedor-dostoevskii,3052.0,1475.0,811.0,3203.0,167.0
bednye-lyudi. Text/annotation.xhtml,6.0,152.0,117.0,73.0,38.0,86.0,25.0,99.0,1049.0,805.0,137.0,357.0,55.0,12.968728070175437,32.74574561403509,9.219289473684213,22.299749062255362,9.219289473684213,73.35964912280701,145.0,20.0,59.0,7.0,28.0,74.0,5.0,,6.0,0.7697368421052632,9.489953136149609,6.710410215713931,0.9479074820823096,0.9314273038170182,0.023875459361759232,41.884010893699354,0.8823300970873784,0.8533333333333334,137.01104132231407,12.916666666666668,0.8990772337366708,151.0,1343.556314681781,fedor-dostoevskii,1.0,,,10.0,6.0
besy. Text/chapter2.xhtml,475.0,10460.0,3958.0,4562.0,1791.0,8020.0,3119.0,6692.0,67649.0,54351.0,10450.0,22971.0,2478.0,10.231702022743281,46.22320519271409,7.664367978263066,17.217613695560605,7.664367978263066,65.63481936198048,9563.0,1440.0,2442.0,973.0,1211.0,4698.0,247.0,71.0,637.0,0.3783938814531549,38.6999093382864,27.36496832440691,0.8949987392100638,0.9202589645665296,0.026122759821504218,38.28079448086498,0.8809317068484877,0.8793301435406697,268.9651683338626,268.1682215700556,0.9144383095200571,166.6277872547825,1564.3369132128523,fedor-dostoevskii,221.0,39.0,58.0,1082.0,75.0
besy. Text/chapter3.xhtml,694.0,12536.0,4347.0,5297.0,1983.0,9614.0,3856.0,7741.0,79584.0,62544.0,12500.0,26597.0,3270.0,7.749108720199946,55.84143534516845,5.258870651716144,14.99481578113255,5.258870651716144,60.31770817049779,11066.0,1809.0,2541.0,1023.0,1282.0,5650.0,337.0,50.0,786.0,0.3467613273771538,38.824882357947814,27.453337594074856,0.8877619572285862,0.915598409089688,0.027387430117862013,36.51310092609976,0.874797789701241,0.8782399999999992,208.77983970570278,237.29829122760285,0.9202082218029163,190.28486040338674,1459.0251516054827,fedor-dostoevskii,375.0,309.0,181.0,1230.0,78.0
besy. Text/chapter4.xhtml,688.0,13671.0,4156.0,5221.0,1852.0,10834.0,4626.0,8060.0,83986.0,64855.0,13607.0,27622.0,3988.0,7.896126940961434,59.57224182533729,4.2310518191303785,14.555583928828204,4.2310518191303785,58.06096943028274,11563.0,1452.0,2853.0,904.0,1556.0,5929.0,624.0,26.0,917.0,0.30400117036061736,35.54474453444173,25.133929895847224,0.8749638016843289,0.9059135275987675,0.030232649003989025,33.0768236639818,0.8545793569225762,0.851941391941392,161.62973456958161,177.0238841729664,0.9132861226345996,181.65455199362353,1319.1393689488546,fedor-dostoevskii,820.0,371.0,176.0,1177.0,59.0
besy. Text/chapter5.xhtml,383.0,9697.0,3471.0,3913.0,1421.0,7742.0,3091.0,6072.0,61092.0,48136.0,9774.0,20519.0,2949.0,11.262994966815661,46.74838350990629,7.1365492610161,17.079684266424298,7.1365492610161,65.67122425686284,8361.0,1720.0,1721.0,682.0,999.0,4539.0,403.0,34.0,565.0,0.3579457564195112,35.24811655297518,24.92418223866255,0.8880804202483898,0.9141739482210584,0.028073679305484187,35.62055365520437,0.8670626036483952,0.8679792746113991,183.09363534721115,209.34062642235625,0.9145356747609518,177.76983841874994,1359.2945383264089,fedor-dostoevskii,545.0,226.0,139.0,1027.0,57.0
besy. Text/chapter6.xhtml,561.0,14416.0,4380.0,6144.0,2371.0,11246.0,4476.0,9141.0,92722.0,73300.0,14492.0,31244.0,4326.0,11.822908048296505,43.1733622574244,7.997772475027745,18.22578975817374,7.997772475027745,68.31628157266337,12564.0,2339.0,2824.0,1083.0,1396.0,6763.0,605.0,67.0,871.0,0.30382907880133186,36.47973910473913,25.795070896877117,0.87559750572785,0.9067883232313438,0.029912752469339596,33.43055778718439,0.8776292893435739,0.8803472222222221,202.92169329889123,214.54721985558928,0.9221060256203026,205.30885250047916,1311.428373543646,fedor-dostoevskii,549.0,432.0,156.0,1409.0,80.0
besy. Text/chapter8.xhtml,705.0,14609.0,4341.0,5751.0,2046.0,11695.0,5047.0,8694.0,90766.0,71079.0,14692.0,30090.0,4389.0,8.599504448098397,56.109095556562096,5.23008016728248,15.111464425423508,5.23008016728248,60.08812997331383,12591.0,1364.0,3064.0,1129.0,2045.0,5953.0,696.0,54.0,692.0,0.29714559518105277,35.915303544324246,25.395954684564924,0.8734504849546392,0.9051581022624252,0.03038680604323817,32.90901974288032,0.8535508241757876,0.8542465753424665,146.47244379091225,176.43659699521396,0.9097941097804442,172.6517537146195,1294.1029021542608,fedor-dostoevskii,721.0,605.0,175.0,1373.0,82.0
besy. Text/chapter9.xhtml,324.0,7120.0,2750.0,2830.0,940.0,5830.0,2445.0,4325.0,44793.0,35255.0,7158.0,14801.0,2311.0,9.353083818837565,53.33169146206133,6.12074542238868,15.10914676316583,6.12074542238868,61.722499653211266,6171.0,868.0,1556.0,493.0,796.0,3172.0,311.0,23.0,387.0,0.3862359550561798,32.59062559087343,23.045052358418438,0.8927580933609027,0.9158907176993311,0.027837109294851305,35.92327024361534,0.8724112572479187,0.8695774647887322,198.8802831126136,195.8358986253654,0.9181864152420228,193.10469891727558,1449.291379275151,fedor-dostoevskii,319.0,243.0,109.0,692.0,56.0
besy. Text/chapter10.xhtml,164.0,3515.0,1533.0,1469.0,508.0,2813.0,1094.0,2227.0,22333.0,17754.0,3534.0,7483.0,1000.0,9.45293073240121,51.02673281754154,6.590724026818862,15.610332619179843,6.590724026818862,63.22524546369219,3068.0,357.0,878.0,259.0,400.0,1596.0,171.0,19.0,178.0,0.4361308677098151,25.857080658866856,18.283717075572277,0.8983669589661283,0.9153288624815868,0.028661923643026783,34.88949354741903,0.8684824004616687,0.8722857142857146,186.75238259326153,221.9364301551388,0.913242788805543,180.6439393939394,1325.830129244514,fedor-dostoevskii,164.0,105.0,43.0,373.0,27.0
besy. Text/chapter11.xhtml,377.0,6898.0,2787.0,2960.0,1207.0,5351.0,2232.0,4326.0,44608.0,35757.0,6918.0,15121.0,1808.0,8.377788325990007,51.304504903970155,6.542146003954549,15.869469084707488,6.542146003954549,61.20807092049131,6074.0,973.0,1532.0,538.0,782.0,3195.0,243.0,35.0,429.0,0.40403015366772976,33.556400853964696,23.727958596052492,0.8974694965398504,0.9195799978270985,0.02670953293178496,37.43981605945557,0.8834486786392164,0.8832116788321172,217.7091792987693,242.7768940172416,0.9252387433936444,211.62916470200975,1498.392371234935,fedor-dostoevskii,238.0,157.0,67.0,681.0,54.0
besy. Text/chapter12.xhtml,377.0,7281.0,3202.0,3303.0,1317.0,5512.0,2026.0,4803.0,47892.0,38229.0,7295.0,16274.0,1952.0,9.189836218463302,47.39663799023438,7.245519901003192,16.574607645113204,7.245519901003192,64.67764506070631,6644.0,1154.0,1542.0,621.0,1018.0,3279.0,219.0,51.0,307.0,0.43977475621480566,37.52544162831142,26.534494242398967,0.9076250499781274,0.928270099921117,0.023917757894207727,41.80993905963797,0.8877046460176957,0.8884137931034486,309.28154662265615,335.4576229570902,0.9295777084149655,215.6806640625,1482.822024151944,fedor-dostoevskii,186.0,144.0,67.0,831.0,69.0
besy. Text/chapter13.xhtml,607.0,12586.0,4057.0,5036.0,1912.0,10003.0,4384.0,7531.0,78958.0,62183.0,12610.0,26310.0,3899.0,8.830083799080121,54.24569327049667,5.70455909903292,15.741286157769485,5.70455909903292,60.74747365800394,10819.0,1415.0,2654.0,904.0,1624.0,5370.0,604.0,35.0,713.0,0.3223422850786588,36.16272460094951,25.570907791512983,0.8800741014394623,0.9094593709136656,0.02925102015811904,34.18684184669148,0.8694408550689473,0.8687649402390446,187.61483362861253,207.65882307296204,0.9165129679714703,189.4090220960517,1338.1532188341369,fedor-dostoevskii,559.0,495.0,229.0,1054.0,92.0
besy. Text/chapter14.xhtml,258.0,7029.0,2671.0,3136.0,1221.0,5517.0,2293.0,4445.0,46641.0,37084.0,7217.0,15557.0,2249.0,12.916444447752998,38.40067095785898,9.628860027560236,19.283438058102973,9.628860027560236,71.85935178843793,6250.0,761.0,1432.0,576.0,1050.0,2857.0,333.0,40.0,314.0,0.37999715464504197,31.858631484370243,22.527454361921446,0.890763898048253,0.9141402839444437,0.02839592536724278,35.21632019619226,0.876323782234952,0.8769999999999999,200.23035810279552,242.09354281105888,0.9223047668299583,201.12783473254783,1290.835760577727,fedor-dostoevskii,269.0,196.0,93.0,670.0,42.0
besy. Text/chapter15.xhtml,253.0,3044.0,1298.0,1189.0,382.0,2534.0,1097.0,1819.0,18919.0,14724.0,3085.0,6229.0,1055.0,4.24363467561405,68.21002337261663,2.614843284008458,10.913765061172292,2.614843284008458,51.09206733391159,2490.0,291.0,713.0,165.0,535.0,1251.0,192.0,11.0,192.0,0.4264126149802891,23.526231620138724,16.63555791436547,0.8937345090767425,0.9099803132264582,0.03050586464213328,32.78058208580807,0.8463238731218938,0.8516666666666668,148.28975846488214,159.5575699416845,0.911821094751955,183.30019392884,1235.3855609923223,fedor-dostoevskii,193.0,169.0,82.0,220.0,9.0
besy. Text/chapter16.xhtml,164.0,3023.0,1302.0,1033.0,288.0,2163.0,995.0,1456.0,17544.0,11938.0,2977.0,5039.0,943.0,4.610410692818473,82.69227451328433,-1.1484657776155132,11.766105238142048,-1.1484657776155132,52.60427978990343,2555.0,222.0,605.0,143.0,297.0,1143.0,115.0,14.0,200.0,0.43069798213695004,23.680556850342622,16.74468233115082,0.8948904857733839,0.910954415142225,0.030200081076529463,33.11249388589118,0.8489307330195116,0.8430000000000001,153.50105900182461,160.6891345604722,0.9046168482835261,162.87808443873914,1189.3780754922618,fedor-dostoevskii,200.0,68.0,64.0,294.0,11.0
besy. Text/chapter17.xhtml,293.0,7375.0,2878.0,3143.0,1309.0,5579.0,2289.0,4599.0,47815.0,38050.0,7409.0,16045.0,1988.0,11.62544825591485,43.36000445421416,8.317722826401344,18.737231135417908,8.317722826401344,67.7875976167062,6647.0,925.0,1651.0,605.0,828.0,3236.0,237.0,69.0,417.0,0.3902372881355932,33.51272766061034,23.69707698487555,0.8943390952067238,0.9174449237347965,0.02731835726186699,36.60542214944508,0.8778514878514738,0.8810884353741494,225.27160164884862,238.8584289590437,0.9163006758849059,182.66944114149823,1360.8091817779066,fedor-dostoevskii,238.0,73.0,65.0,805.0,62.0
besy. Text/chapter19.xhtml,469.0,8864.0,3467.0,3765.0,1517.0,6826.0,2732.0,5611.0,57116.0,45625.0,8871.0,19353.0,2349.0,8.609173951990947,51.04739586781153,6.483016996951804,15.950665928579266,6.483016996951804,61.37496728579896,8125.0,1271.0,1855.0,708.0,1168.0,3777.0,299.0,43.0,406.0,0.3911326714801444,36.82467884478642,26.038980126165278,0.8967289407021826,0.9206172678271933,0.026160269809052745,38.225905439780696,0.8841769710720094,0.8846327683615816,266.96967733479033,281.7072129405741,0.9222495172868774,196.23629796523971,1489.2744650904847,fedor-dostoevskii,266.0,67.0,70.0,927.0,63.0
besy. Text/chapter20.xhtml,518.0,8958.0,3418.0,3663.0,1360.0,7021.0,2899.0,5482.0,56346.0,44469.0,8935.0,18926.0,2488.0,7.306846967530152,57.37735510029212,4.886488719558713,14.375623019731982,4.886488719558713,58.184260138044465,8040.0,1253.0,1841.0,680.0,1134.0,3841.0,257.0,69.0,426.0,0.3815583835677607,36.113246254450814,25.535921317181863,0.8941253405823435,0.9185684839853544,0.026788715951906388,37.32915014647561,0.872654618924653,0.8748603351955313,220.2689397207837,242.01440218317128,0.9181206711747804,186.25849269468083,1449.4267592935014,fedor-dostoevskii,324.0,168.0,104.0,986.0,68.0
besy. Text/chapter21.xhtml,413.0,6609.0,2249.0,2332.0,762.0,5429.0,2389.0,3802.0,39287.0,30209.0,6573.0,12927.0,2041.0,5.529761111581276,68.47810740691483,2.06243920096486,12.05912606973704,2.06243920096486,51.287638435664626,5509.0,888.0,1113.0,386.0,793.0,2785.0,311.0,29.0,375.0,0.3402935391133303,27.664420642151175,19.5616994336622,0.8774529684696198,0.9024596793139772,0.032079234741953386,31.172813442840482,0.8551006097561084,0.8575757575757577,162.0568260293625,159.3678633723544,0.9086503806467086,176.20018075011296,1216.9242642998013,fedor-dostoevskii,392.0,333.0,108.0,574.0,27.0
besy. Text/chapter22.xhtml,301.0,7033.0,2668.0,2863.0,1037.0,5676.0,2475.0,4238.0,44184.0,35109.0,7045.0,14740.0,1970.0,10.158657425624714,50.500298004235376,6.764163289296356,16.460245361478307,6.764163289296356,64.0735389358095,6142.0,679.0,1699.0,505.0,811.0,3067.0,282.0,20.0,402.0,0.3793544717759135,31.81379780375391,22.495752162332085,0.8905798269334069,0.9139909878459807,0.028441947916154137,35.159335884727895,0.8664175257732061,0.865,183.10861893616072,205.01254836075157,0.9104794505879856,170.78428907874107,1466.310166751281,fedor-dostoevskii,256.0,233.0,103.0,745.0,63.0
besy. Text/chapter23.xhtml,512.0,9235.0,3063.0,3569.0,1202.0,7478.0,3019.0,5661.0,57023.0,44382.0,9169.0,18814.0,2961.0,7.120105629483621,60.94805721693963,4.1040134027519315,13.596471807725434,4.1040134027519315,56.68356308371684,7975.0,1343.0,1719.0,602.0,1120.0,3854.0,409.0,40.0,574.0,0.331672983216026,31.873411295163994,22.53790526635836,0.8791331409165204,0.9064914166330783,0.03048008634062472,32.808306014119516,0.856562159808383,0.8577173913043477,165.49465645353638,183.0388984479216,0.9140065494359532,184.97724551417764,1257.3636877861993,fedor-dostoevskii,357.0,329.0,153.0,946.0,48.0
besy. Text/chapter24.xhtml,548.0,10018.0,3219.0,3943.0,1255.0,8213.0,3441.0,6027.0,62019.0,48740.0,10033.0,20301.0,2932.0,7.160803145578832,61.27988315193235,4.544245089131529,13.429519837979633,4.544245089131529,57.64017542146764,8757.0,886.0,2430.0,696.0,1014.0,4400.0,416.0,33.0,565.0,0.3213216210820523,32.16106805227598,22.741309309966372,0.8767590509710952,0.9051395215663115,0.030804222522127975,32.46308194539426,0.855461931989146,0.8555000000000007,164.43051212073118,181.40885491412064,0.9107839917539229,172.2391293154052,1270.0704267308583,fedor-dostoevskii,411.0,285.0,211.0,989.0,74.0
besy. Text/chapter25.xhtml,507.0,10454.0,3503.0,4030.0,1366.0,7894.0,3212.0,6048.0,63583.0,47798.0,10323.0,20328.0,3078.0,7.708458964963061,63.16428924273865,3.365826351114997,14.562101730863894,3.365826351114997,59.169166771380134,9144.0,1620.0,2020.0,615.0,951.0,4540.0,329.0,52.0,713.0,0.3350870480198967,34.26090963786131,24.226121534551275,0.8818589240878807,0.9096234072133318,0.02939357361337432,34.02104191730507,0.8572263334934817,0.8568421052631585,164.53650163332088,182.00345255333934,0.9151486701559577,183.66768745672007,1297.654062917359,fedor-dostoevskii,404.0,193.0,137.0,1027.0,32.0
besy. Text/chapter26.xhtml,208.0,3849.0,1712.0,1565.0,610.0,3036.0,1254.0,2392.0,24191.0,19414.0,3824.0,8242.0,926.0,8.10910427533625,54.084491751104196,5.725459560550199,15.190568910152518,5.725459560550199,59.164719357675324,3445.0,591.0,696.0,358.0,352.0,1750.0,154.0,22.0,238.0,0.44479085476747204,27.594962282306387,19.512584956405853,0.9018661063087626,0.9191065789594345,0.027370814806443024,36.535266014974546,0.8629263157895173,0.866315789473684,185.5464151953774,197.72621551723475,0.904051802636114,148.2162356896966,1367.0636133171358,fedor-dostoevskii,134.0,32.0,36.0,410.0,36.0
besy. Text/chapter28.xhtml,546.0,10571.0,3481.0,3974.0,1425.0,8624.0,3627.0,6422.0,64770.0,51082.0,10615.0,21825.0,3043.0,7.9684531822669165,57.58284766049074,4.640759965060958,14.333020350390541,4.640759965060958,56.9542218101011,9131.0,1326.0,2085.0,866.0,1058.0,4839.0,422.0,41.0,482.0,0.3292971336675811,33.85680614436114,23.940377213996126,0.8801197478372913,0.9082835454682718,0.02979045584003194,33.567797866866336,0.8553240828739592,0.8579146919431284,172.22191033089354,178.61564686343712,0.8995368537251861,144.8040905509362,1319.015823870997,fedor-dostoevskii,689.0,269.0,141.0,1166.0,49.0
besy. Text/annotation.xhtml,6.0,137.0,111.0,79.0,43.0,70.0,14.0,99.0,1105.0,879.0,126.0,368.0,52.0,14.207092457420924,15.715170316301709,15.529275547445259,23.718326232893332,15.529275547445259,80.49756690997567,135.0,11.0,52.0,28.0,28.0,74.0,1.0,3.0,2.0,0.8102189781021898,9.483370000656047,6.705755235964964,0.9572252966650745,0.9424231585976968,0.020018856930764238,49.95290207920099,0.931590909090908,0.8799999999999999,146.5429350261389,11.5,0.9181648924099838,198.2127659574468,1482.3498934647575,fedor-dostoevskii,,,,9.0,3.0
podrostok. Text/chapter2.xhtml,236.0,5910.0,2045.0,2220.0,782.0,4841.0,2007.0,3616.0,36153.0,28750.0,5907.0,12186.0,1446.0,10.732843930138518,50.35798632022714,6.437008266655198,16.14371548046323,6.437008266655198,62.60582465800568,5307.0,735.0,1186.0,565.0,488.0,2712.0,186.0,26.0,273.0,0.3460236886632826,26.601098535895336,18.809817161743133,0.8777983618637413,0.9018163758113148,0.03240058430454477,30.863640933158475,0.8773383381675709,0.8794915254237288,198.96313193809127,201.89252689148157,0.9091404824170547,172.10849251877698,1262.3398360723677,fedor-dostoevskii,316.0,14.0,56.0,553.0,28.0
podrostok. Text/chapter3.xhtml,313.0,7026.0,2519.0,2557.0,898.0,5660.0,2427.0,4131.0,42180.0,32832.0,6990.0,13949.0,1927.0,8.90215253431117,58.3345864288644,4.5089995525519555,15.025279736782489,4.5089995525519555,58.840680302918685,6028.0,768.0,1435.0,550.0,636.0,3141.0,233.0,21.0,443.0,0.35852547680045543,30.052049448587486,21.250007953649657,0.884191895742305,0.9086404831162601,0.03010576832934296,33.216225842850776,0.8606822416511503,0.8641428571428575,170.0593195117768,185.16880418691676,0.9024862014735079,155.39060433955848,1345.8135858894002,fedor-dostoevskii,486.0,69.0,80.0,743.0,32.0
podrostok. Text/chapter4.xhtml,267.0,6339.0,2335.0,2452.0,827.0,5199.0,2164.0,3862.0,39050.0,30683.0,6385.0,12981.0,1848.0,9.99230594979182,52.89821487634069,5.920123319879963,15.609873727379187,5.920123319879963,62.42275303055279,5489.0,649.0,1282.0,484.0,700.0,2771.0,271.0,29.0,286.0,0.36835463006783403,29.327598967668536,20.73774410595801,0.8859201737213827,0.9093032842856854,0.03000505092599746,33.32772213806056,0.8589666136725145,0.8600000000000002,170.60082952674423,174.03165490528744,0.909661314277063,172.3636246632231,1296.0172927573085,fedor-dostoevskii,424.0,140.0,89.0,622.0,37.0
podrostok. Text/chapter5.xhtml,238.0,5506.0,2061.0,2099.0,799.0,4410.0,1803.0,3406.0,33852.0,26755.0,5529.0,11471.0,1522.0,9.954436657336384,51.5500575231909,5.868084608997975,16.24921073915111,5.868084608997975,61.25650245568623,4816.0,800.0,1048.0,499.0,399.0,2651.0,218.0,25.0,316.0,0.37431892480929896,27.775372257306742,19.640154073122304,0.8859190320942163,0.9081870109793109,0.030496114128323273,32.79106301190189,0.8669342129375524,0.870363636363637,185.93819740789075,201.64846581880528,0.9027109193304268,153.21193525885337,1329.2867970250206,fedor-dostoevskii,315.0,59.0,50.0,539.0,27.0
podrostok. Text/chapter6.xhtml,325.0,6999.0,2611.0,2631.0,881.0,5802.0,2481.0,4202.0,42475.0,33631.0,7014.0,14284.0,1806.0,8.860638218646617,56.18313487641092,5.080695387472936,14.606441450172765,5.080695387472936,59.12646905601899,6167.0,882.0,1272.0,569.0,731.0,3042.0,234.0,31.0,307.0,0.3730532933276182,31.20964832993815,22.068553972546674,0.8886280590317245,0.9123269929462591,0.028965123123986417,34.524279276130066,0.8553410071942523,0.8553956834532372,172.84751658016148,191.67804569069665,0.9010961274587037,146.27059715934203,1408.0489451701999,fedor-dostoevskii,493.0,32.0,136.0,559.0,31.0
podrostok. Text/chapter7.xhtml,315.0,7935.0,2768.0,2999.0,848.0,6675.0,2800.0,4723.0,48007.0,37559.0,7991.0,15811.0,2333.0,10.29905482041588,54.334249257358906,5.6565952380952425,14.556130942488936,5.6565952380952425,62.98505716086056,6770.0,1076.0,1464.0,523.0,839.0,3571.0,270.0,14.0,318.0,0.34883427851291743,31.07367507913661,21.972406364844925,0.8827092343319488,0.9083231256836047,0.03007804951208525,33.24683668727268,0.8624296221151369,0.864430379746835,177.51095213352477,185.7871246796332,0.9039105993912049,158.13157141206554,1401.8111565272106,fedor-dostoevskii,568.0,279.0,94.0,798.0,23.0
podrostok. Text/chapter8.xhtml,200.0,4889.0,1743.0,1694.0,547.0,4126.0,1861.0,2812.0,28924.0,22586.0,4885.0,9604.0,1328.0,9.728242268357537,56.995465023522186,4.736511597975046,14.671354588409379,4.736511597975046,59.09421251789732,4149.0,534.0,760.0,384.0,372.0,2126.0,224.0,7.0,203.0,0.3565146246676212,24.927996124752262,17.6267551012043,0.8785860844217763,0.9008427361379194,0.03291045650621373,30.385479454263812,0.8536694214876634,0.8554639175257732,156.49605779856566,162.67137592554494,0.8997426255207154,153.28692751763953,1270.8123567096573,fedor-dostoevskii,345.0,192.0,58.0,391.0,11.0
podrostok. Text/chapter9.xhtml,329.0,7713.0,2802.0,3021.0,1025.0,6312.0,2680.0,4657.0,47535.0,37488.0,7700.0,15888.0,2194.0,9.934708574360503,52.55817809469427,5.961865962885071,15.655328954985638,5.961865962885071,62.61140804791342,6711.0,978.0,1538.0,557.0,667.0,3463.0,316.0,34.0,396.0,0.3632827693504473,31.90483223149674,22.560123223510473,0.8868716400046336,0.9115743887520739,0.029102613961650994,34.36117461193406,0.8626800626304842,0.8646753246753248,184.3574207893274,190.72154009070894,0.9058036209294161,157.68607345276786,1359.8002215328074,fedor-dostoevskii,470.0,136.0,84.0,764.0,41.0
podrostok. Text/chapter10.xhtml,379.0,7790.0,2694.0,2971.0,943.0,6463.0,2660.0,4746.0,47554.0,37188.0,7817.0,15819.0,2438.0,8.305470581660405,58.0707937752548,4.609488915834866,13.995856289655185,4.609488915834866,58.69272899089219,6517.0,1158.0,1352.0,551.0,731.0,3605.0,452.0,19.0,590.0,0.3458279845956354,30.52311567485603,21.583102076632102,0.881501881633848,0.907177110516179,0.030450206288653553,32.840500012396404,0.8659191318950945,0.8685161290322583,173.66061423853515,189.60179762568964,0.9084199495172011,167.61411602209944,1276.9551657697796,fedor-dostoevskii,533.0,150.0,109.0,799.0,20.0
podrostok. Text/chapter11.xhtml,305.0,6182.0,2030.0,2146.0,664.0,5147.0,2258.0,3553.0,36423.0,28205.0,6130.0,12010.0,1824.0,7.5237176466844495,63.72699940599627,3.2062833832756112,13.094969384000418,3.2062833832756112,54.98253735063723,5247.0,660.0,1184.0,474.0,454.0,2829.0,260.0,18.0,270.0,0.3283726949207376,25.81853153626475,18.256458729571534,0.8724303597368243,0.8975942481167372,0.03364951185747121,29.718113125553998,0.8423773031143311,0.8424390243902439,129.85366301558454,152.8606908121632,0.8998800711739693,151.89956033297025,1195.0297937075143,fedor-dostoevskii,438.0,227.0,67.0,581.0,16.0
podrostok. Text/chapter13.xhtml,234.0,5343.0,1945.0,1954.0,629.0,4490.0,2006.0,3113.0,32256.0,25113.0,5385.0,10666.0,1698.0,9.171007860752386,57.17663391353173,4.787804463784397,14.545270964762278,4.787804463784397,59.404548006737784,4614.0,439.0,1122.0,417.0,481.0,2317.0,216.0,5.0,292.0,0.36402769979412314,26.60890595457787,18.815337840437113,0.8822717651326637,0.9048078824359063,0.03158128201235233,31.664325710681148,0.8520136003022684,0.8522641509433964,154.84831805726165,155.25008545951312,0.9019222942058892,153.3856364398491,1330.374708951514,fedor-dostoevskii,334.0,103.0,88.0,435.0,18.0
podrostok. Text/chapter14.xhtml,220.0,4878.0,1710.0,1750.0,565.0,4041.0,1778.0,2828.0,29176.0,22759.0,4867.0,9588.0,1434.0,8.62322184949122,59.880319244101514,4.386366769167694,14.218433223190207,4.386366769167694,58.048086026314806,4179.0,492.0,1086.0,351.0,440.0,2223.0,201.0,20.0,253.0,0.3505535055350554,24.483596436490792,17.31251706807743,0.8765683730166401,0.8990609628934166,0.033466251349890015,29.88084890491586,0.8440215365500503,0.8443298969072166,130.8709164279046,144.1362342975462,0.8935863567765193,141.35643917337106,1178.858592733063,fedor-dostoevskii,354.0,92.0,38.0,546.0,19.0
podrostok. Text/chapter15.xhtml,232.0,5215.0,1730.0,1773.0,555.0,4391.0,1909.0,3037.0,30535.0,23582.0,5214.0,10123.0,1607.0,8.594698523820544,60.95102299401593,3.572648653172216,13.724499612606396,3.572648653172216,56.47653073032036,4246.0,785.0,819.0,328.0,458.0,2391.0,241.0,10.0,337.0,0.3317353787152445,23.9562560759684,16.939631123158687,0.871085438521525,0.8948844182234293,0.0346800489371602,28.83502274786252,0.8350019357336935,0.8355769230769232,119.50470121647263,127.70565250329872,0.892678679516552,141.00441821632666,1101.1729385409608,fedor-dostoevskii,441.0,191.0,69.0,500.0,7.0
podrostok. Text/chapter16.xhtml,216.0,4232.0,1402.0,1399.0,455.0,3534.0,1643.0,2346.0,24314.0,18735.0,4227.0,8077.0,1258.0,6.94281365959532,66.6605417279283,2.168647553035072,12.881805464605577,2.168647553035072,52.65024854722397,3440.0,548.0,526.0,358.0,510.0,1785.0,168.0,7.0,170.0,0.33128544423440454,21.551384939642166,15.23913043478261,0.8676984407456207,0.889844615598726,0.036481426595321276,27.411208752682096,0.8115132679895243,0.8123809523809522,97.93941119406132,98.39774107359727,0.8694513312840758,112.0949065958832,1124.8710207867334,fedor-dostoevskii,386.0,236.0,58.0,502.0,14.0
