,n_sents,n_words,n_unique_words,n_long_words,n_complex_words,n_simple_words,n_monosyllable_words,n_polysyllable_words,n_chars,n_letters,n_spaces,n_syllables,n_punctuations,flesch_kincaid_grade,flesch_reading_easy,coleman_liau_index,smog_index,automated_readability_index,lix,,femn,masc,neut,plur,sing,pres,actv,3per,ttr,rttr,cttr,httr,sttr,mttr,dttr,mattr,msttr,mtld,mamtld,hdd,simpson_index,hapax_index,author,1per,2per,futr,past,pssv
chaika. Text/chapter3.xhtml,413.0,3157.0,1371.0,1155.0,376.0,2608.0,1048.0,1936.0,19053.0,14851.0,2976.0,6416.0,1109.0,1.9914500464397094,74.75593169335832,0.5521369434616616,8.4858304195158,0.5521369434616616,44.2294336502687,2544.0,460.0,465.0,198.0,453.0,1383.0,285.0,2.0,235.0,0.4342730440291416,24.40058079972592,17.25381614837647,0.8964822226363195,0.912756919943271,0.02958263918452027,33.803610075576714,0.8473037323037567,0.8473015873015874,151.70089657635936,155.54951506297994,0.9080046295625486,172.48021327424436,1314.385055280611,anton-chekhov,258.0,120.0,45.0,102.0,8.0
chaika. Text/chapter4.xhtml,476.0,2836.0,1213.0,1081.0,349.0,2259.0,824.0,1784.0,17166.0,13346.0,2574.0,5752.0,1055.0,1.1353356010951607,77.1942762916168,0.09029750151118066,7.620388742613269,0.09029750151118066,44.075049483827385,2252.0,464.0,432.0,128.0,313.0,1385.0,255.0,4.0,234.0,0.4277150916784203,22.77758560967171,16.106185243655986,0.8931720796827898,0.9088284241971075,0.0309403445613038,32.32026062342794,0.8513383566559172,0.8503571428571434,153.27547370485047,151.2414668148229,0.907144854661536,171.5761843790013,1239.0925008159404,anton-chekhov,216.0,134.0,66.0,102.0,7.0
chaika. Text/chapter5.xhtml,650.0,3959.0,1631.0,1545.0,458.0,3228.0,1147.0,2539.0,24406.0,19065.0,3655.0,8061.0,1483.0,1.2581546194649,76.54617403384692,0.8141793850428414,7.471385730026849,0.8141793850428414,45.115775545495175,3278.0,741.0,668.0,188.0,483.0,1916.0,341.0,3.0,307.0,0.41197272038393534,25.921564515788752,18.329314048078814,0.8929472168140686,0.9115589421353201,0.02975684195241261,33.60571668187129,0.8537237851662903,0.8501265822784814,176.4259899872071,176.46797802654794,0.9155274417202368,192.48380994496856,1209.8272068779065,anton-chekhov,248.0,126.0,66.0,224.0,18.0
chaika. Text/annotation.xhtml,11.0,198.0,156.0,95.0,48.0,127.0,36.0,139.0,1458.0,1143.0,187.0,497.0,75.0,10.553737373737373,32.5779292929293,10.146272727272724,18.5185678925032,10.146272727272724,65.97979797979798,191.0,53.0,44.0,26.0,29.0,108.0,8.0,2.0,7.0,0.7878787878787878,11.086437250491743,7.839294959021855,0.9549169847019457,0.9445181106244623,0.01962977254552305,50.94302532955581,0.8766442953020122,0.8266666666666667,189.47241877256317,25.916666666666664,0.9116604413186904,174.13392857142858,1990.4431648933262,anton-chekhov,,,,5.0,5.0
chelovek-v-futlyare. Text/chapter1.xhtml,175.0,4027.0,1740.0,1601.0,546.0,3294.0,1329.0,2511.0,24731.0,19439.0,4055.0,8369.0,1197.0,9.856620610876583,52.0190005675973,5.632768788534541,15.666591177334446,5.632768788534541,62.768071233459864,3537.0,520.0,897.0,320.0,495.0,1800.0,185.0,5.0,277.0,0.4320834368015893,27.419430702236784,19.38846538582625,0.8989086717303141,0.9168896104313136,0.028042120225920356,35.66064163278437,0.8689944695827598,0.8740000000000003,217.03021396960034,210.6030692253467,0.9078986320695336,153.16387030948871,1403.28143971296,anton-chekhov,144.0,69.0,41.0,402.0,16.0
chelovek-v-futlyare. Text/annotation.xhtml,8.0,168.0,132.0,90.0,35.0,109.0,30.0,114.0,1141.0,886.0,157.0,390.0,58.0,10.646428571428572,40.01714285714286,7.86454761904762,18.542599871299874,7.86454761904762,74.57142857142857,166.0,35.0,57.0,10.0,12.0,97.0,2.0,,2.0,0.7857142857142857,10.184021097498066,7.201190377787749,0.952934474600859,0.9397307398030336,0.021150105194653584,47.28108871310883,0.9156302521008411,0.8733333333333334,160.4994866193337,14.38888888888889,0.9085131758143856,159.4090909090909,1546.0043430937574,anton-chekhov,,,,14.0,2.0
uchitel-slovesnosti. Text/chapter1.xhtml,214.0,4220.0,1886.0,1795.0,557.0,3441.0,1202.0,2796.0,26516.0,20926.0,4224.0,8975.0,1318.0,8.598090756079198,53.38017318509988,5.533241396111087,14.313616547332792,5.533241396111087,62.25517119192098,3787.0,708.0,1036.0,290.0,539.0,1989.0,128.0,17.0,293.0,0.44691943127962086,29.032568735703787,20.5291262282807,0.9035198297273435,0.9212252248853706,0.026612925527857215,37.57572608668088,0.8715847518581286,0.8711904761904764,236.07529314180147,246.61562016009088,0.9134159421410704,167.3451011354237,1312.3491905016729,anton-chekhov,69.0,71.0,49.0,517.0,10.0
uchitel-slovesnosti. Text/chapter2.xhtml,100.0,2780.0,1370.0,1133.0,364.0,2276.0,855.0,1785.0,17156.0,13648.0,2765.0,5849.0,737.0,12.39088489208633,44.2471942446043,7.490446762589926,16.917846335558078,7.490446762589926,68.55539568345324,2504.0,391.0,688.0,268.0,261.0,1359.0,74.0,4.0,196.0,0.49280575539568344,25.983531032022693,18.37313099191434,0.9107664833146439,0.9244175780388627,0.025909511046754315,38.59586536370666,0.8601684364701723,0.8567272727272732,219.0456456022203,228.75093794551208,0.8962436445293417,126.58310394547122,1546.9971706254964,anton-chekhov,58.0,22.0,16.0,349.0,9.0
uchitel-slovesnosti. Text/annotation.xhtml,9.0,202.0,142.0,102.0,47.0,127.0,37.0,137.0,1436.0,1122.0,191.0,481.0,73.0,11.790451045104508,34.54781628162817,10.026557755775578,20.253965507350838,10.026557755775578,72.93949394939494,191.0,46.0,58.0,20.0,22.0,119.0,7.0,,11.0,0.7029702970297029,9.991085135170145,7.064764050490923,0.9336053379575241,0.9177457404504471,0.028800235366469654,34.72193845902518,0.8503267973856203,0.85,138.56356736242884,75.65697284612806,0.8929477686051724,147.1086956521739,1091.199648204735,anton-chekhov,,,,5.0,4.0
tri-sestry. Text/chapter1.xhtml,2.0,71.0,69.0,51.0,15.0,52.0,4.0,63.0,566.0,471.0,57.0,190.0,33.0,20.34021126760563,-0.14598591549295747,20.445355633802812,24.262496773360652,20.445355633802812,107.33098591549296,69.0,16.0,43.0,3.0,4.0,60.0,2.0,1.0,2.0,0.971830985915493,8.188793441537587,5.790351372247155,0.9932968523866988,0.9890792493522637,0.0036208601667828575,276.1774699762853,0.9845454545454548,1.0,705.740000000001,1.0,0.9835010060362164,1242.5,6386.841303080806,anton-chekhov,,,,,
