,n_sents,n_words,n_unique_words,n_long_words,n_complex_words,n_simple_words,n_monosyllable_words,n_polysyllable_words,n_chars,n_letters,n_spaces,n_syllables,n_punctuations,flesch_kincaid_grade,flesch_reading_easy,coleman_liau_index,smog_index,automated_readability_index,lix,masc,,femn,neut,sing,plur,past,pres,futr,pssv,actv,3per,1per,2per,ttr,rttr,cttr,httr,sttr,mttr,dttr,mattr,msttr,mtld,mamtld,hdd,simpson_index,hapax_index,author
10 anton-chekhov ariadna,31.0,493.0,290.0,184.0,70.0,404.0,182.0,292.0,2942.0,2283.0,516.0,1009.0,140.0,6.143148596479747,63.156952496237665,2.938762677484789,13.33547594058045,2.4098609239023787,53.22574101943336,89.0,418.0,83.0,27.0,212.0,58.0,40.0,15.0,7.0,,,37.0,22.0,16.0,0.5882352941176471,13.060943124220303,9.235481451827988,0.9144218263100795,0.909687673712103,0.031779813801257585,31.4665153878412,0.8435135135135114,0.8466666666666667,134.56263502350998,134.4793067383834,0.8888698851805147,140.6937354988399,1165.5606068513384,anton-chekhov
11 anton-chekhov ariadna,32.0,500.0,310.0,184.0,72.0,399.0,170.0,301.0,2956.0,2322.0,516.0,1020.0,116.0,5.95825,63.91850000000001,2.9720000000000013,13.311730656290681,2.4142524999999964,52.425,99.0,418.0,71.0,52.0,250.0,36.0,39.0,21.0,7.0,4.0,1.0,44.0,28.0,10.0,0.62,13.863621460498695,9.803060746521977,0.9230786892154363,0.9193844344226532,0.028500246635192718,35.08741565643781,0.8535698447893562,0.85,168.3997327319803,154.9412157153447,0.8933347598715118,141.9226393629124,1248.777166185322,anton-chekhov
12 anton-chekhov ariadna,30.0,523.0,352.0,221.0,82.0,410.0,151.0,341.0,3317.0,2646.0,525.0,1131.0,133.0,7.738757807520713,54.20398024219247,5.488355640535374,14.666898895912682,5.521101625239005,59.68954748247292,89.0,465.0,105.0,44.0,253.0,62.0,58.0,15.0,1.0,5.0,2.0,24.0,31.0,3.0,0.6730401529636711,15.391885324521237,10.883706488214672,0.9367449260401991,0.9346610266611984,0.02326835926526775,42.97681622497043,0.8956118143459925,0.8960000000000001,267.1495728065022,262.640768588137,0.9156953879542805,186.734610123119,1708.7724901451443,anton-chekhov
13 anton-chekhov ariadna,29.0,487.0,325.0,188.0,70.0,392.0,163.0,299.0,2954.0,2309.0,503.0,1010.0,129.0,6.77825107979891,60.361255044962135,3.662813141683781,13.785958347495743,3.350835127097646,55.396799546838494,77.0,417.0,103.0,28.0,197.0,95.0,47.0,18.0,5.0,3.0,1.0,34.0,26.0,10.0,0.6673511293634496,14.727155768956923,10.413671711820024,0.9346442018781533,0.9316327744418459,0.02431817445134024,41.12150778426903,0.8732420091324191,0.8755555555555555,208.9119318181818,197.95296297648605,0.8880929969876726,108.5697247706422,1858.39768594629,anton-chekhov
14 anton-chekhov ariadna,32.0,489.0,318.0,179.0,58.0,395.0,172.0,281.0,2889.0,2251.0,502.0,957.0,124.0,5.18431556748466,69.35035659509202,2.697607361963197,11.952767535325558,2.0628732425869174,51.886566973415135,93.0,429.0,61.0,35.0,191.0,90.0,57.0,7.0,2.0,,,19.0,36.0,5.0,0.6503067484662577,14.380457086347079,10.168518722318161,0.9305093803171095,0.9271967350152455,0.025839583076201895,38.70031482516427,0.8496363636363642,0.8600000000000001,247.72219781822625,179.1810996563574,0.883406968556414,111.92870544090056,1745.3065657169623,anton-chekhov
15 anton-chekhov ariadna,37.0,484.0,321.0,173.0,53.0,408.0,163.0,298.0,2874.0,2227.0,507.0,959.0,126.0,4.283985928076834,70.74715657806567,2.3011983471074373,10.631470290725838,1.4330035738217504,48.824882733973645,96.0,411.0,74.0,29.0,223.0,59.0,60.0,16.0,3.0,4.0,1.0,25.0,42.0,6.0,0.6632231404958677,14.590909090909092,10.317330761858262,0.9335751951351453,0.930404862822001,0.024740644587504634,40.41931876362891,0.8841379310344806,0.8977777777777778,255.32561046381858,231.5807513914657,0.9032749157899683,149.85384615384615,1511.9918615576426,anton-chekhov
16 anton-chekhov ariadna,26.0,514.0,344.0,196.0,63.0,416.0,151.0,328.0,3112.0,2466.0,521.0,1058.0,124.0,8.122993115833584,57.427217898832666,4.286731517509725,13.812348301406661,4.538654444777016,57.901526489075124,104.0,461.0,80.0,33.0,232.0,48.0,46.0,16.0,4.0,6.0,,25.0,25.0,3.0,0.669260700389105,15.173189543858342,10.729065218691051,0.9356668944694523,0.9333244927573404,0.023730719565963905,42.13947230804847,0.8807741935483865,0.8760000000000001,285.27053188326374,230.24886195310523,0.9037157191663161,144.8802197802198,1528.8054310399589,anton-chekhov
17 anton-chekhov ariadna,37.0,482.0,305.0,183.0,62.0,397.0,168.0,291.0,2895.0,2260.0,504.0,976.0,131.0,4.574985981832455,68.2035993046989,2.771659751037344,11.494687189472016,1.9659483009981003,50.99383200628014,85.0,403.0,117.0,30.0,247.0,46.0,62.0,13.0,2.0,3.0,,37.0,35.0,7.0,0.6327800829875518,13.892369319565447,9.82338855261267,0.925924817545308,0.9220203696256901,0.027608603725156784,36.220593042479955,0.8587066974595836,0.8488888888888889,175.5299548852477,188.0870315398887,0.8827526566397327,119.62951496388028,1704.8528055476017,anton-chekhov
18 anton-chekhov ariadna,25.0,509.0,328.0,195.0,73.0,413.0,150.0,336.0,3131.0,2471.0,521.0,1095.0,139.0,9.090722200392928,51.07525147347744,4.651335952848722,15.157770186231986,5.060881768172891,58.67041257367387,93.0,434.0,108.0,48.0,241.0,66.0,63.0,8.0,3.0,1.0,,48.0,21.0,6.0,0.6444007858546169,14.538344395436308,10.280161909238453,0.9294924872218039,0.9265703968206838,0.026049081747017467,38.3890691315634,0.8790869565217387,0.874,223.31127450980392,209.40742474916388,0.900343129332687,151.74413145539907,1585.3632725115297,anton-chekhov
19 anton-chekhov ariadna,29.0,500.0,335.0,189.0,56.0,417.0,164.0,309.0,2967.0,2318.0,506.0,1019.0,117.0,6.735675862068966,61.93740689655172,3.137999999999998,12.335814640442463,2.8175668965517247,55.04137931034482,73.0,431.0,102.0,39.0,231.0,52.0,55.0,20.0,,4.0,,34.0,32.0,3.0,0.67,14.98165544924859,10.593630161564072,0.9355586771917602,0.9329102524616905,0.023876264910210856,41.882597791597746,0.8715742793791551,0.8700000000000001,255.67434261495532,193.56667581431677,0.8970025234523187,136.63745892661555,1808.3099029051327,anton-chekhov
20 anton-chekhov ariadna,31.0,491.0,319.0,217.0,80.0,390.0,135.0,335.0,3201.0,2563.0,507.0,1101.0,130.0,7.5402141777806975,51.4786896393141,6.170000000000002,14.252771197108661,6.079703074699424,60.03422902568819,61.0,411.0,90.0,50.0,230.0,50.0,28.0,37.0,5.0,3.0,,62.0,18.0,,0.6496945010183299,14.396268468768122,10.179699058048014,0.9304031447527679,0.9271298584622805,0.02586203927712639,38.66671105416065,0.8733936651583701,0.8733333333333334,245.25400801603206,242.625,0.9157432433348359,187.3753894080997,1320.6999938265035,anton-chekhov
21 anton-chekhov babe-carstvo,24.0,503.0,333.0,239.0,80.0,409.0,141.0,348.0,3289.0,2643.0,514.0,1133.0,128.0,10.122724486414842,44.214812789927095,6.899622266401593,16.19166451557377,7.731814488071571,68.47324387011265,80.0,443.0,84.0,30.0,170.0,115.0,30.0,14.0,24.0,6.0,6.0,60.0,,,0.6620278330019881,14.847736136854737,10.498934907638537,0.9336963746459634,0.9309702738128396,0.024542645500984468,40.74540374874776,0.9056387665198241,0.906,285.5792578631577,274.9979371157373,0.9150015508866436,166.56068601583112,1405.6595922244123,anton-chekhov
22 anton-chekhov babe-carstvo,26.0,504.0,353.0,231.0,73.0,409.0,123.0,359.0,3235.0,2582.0,517.0,1120.0,136.0,9.130683760683763,48.07944444444445,6.041031746031749,14.8643874973985,6.467463980463982,65.21794871794872,114.0,463.0,96.0,46.0,229.0,94.0,57.0,19.0,8.0,3.0,1.0,34.0,5.0,2.0,0.7003968253968254,15.7238697325143,11.118454914354768,0.9427715795199976,0.9407220638126688,0.021176648098150303,47.22182638938719,0.8807472527472523,0.8880000000000001,326.52281980099895,204.12501452036338,0.9033534635853887,126.62937062937063,1870.5058418926874,anton-chekhov
