,n_sents,n_words,n_unique_words,n_long_words,n_complex_words,n_simple_words,n_monosyllable_words,n_polysyllable_words,n_chars,n_letters,n_spaces,n_syllables,n_punctuations,flesch_kincaid_grade,flesch_reading_easy,coleman_liau_index,smog_index,automated_readability_index,lix,masc,,femn,neut,sing,plur,past,pres,futr,pssv,actv,3per,1per,2per,ttr,rttr,cttr,httr,sttr,mttr,dttr,mattr,msttr,mtld,mamtld,hdd,simpson_index,hapax_index,author
824 dmitriy-mamin-sibiryak privalovskie-milliony,43.0,502.0,317.0,206.0,73.0,373.0,122.0,324.0,3051.0,2405.0,499.0,1029.0,113.0,4.094010933012136,68.46522792550728,3.0215936254980136,11.569566771569631,2.225311868803857,52.71027517835634,110.0,457.0,103.0,19.0,243.0,28.0,51.0,16.0,1.0,,2.0,22.0,12.0,11.0,0.6314741035856574,14.148402412875221,10.00443128910018,0.9260768763119575,0.9227004817084065,0.027371800623205173,36.53395016885456,0.885783664459157,0.8779999999999999,149.9286837773172,214.4777098614507,0.9136229888688765,191.40182648401827,1205.807152584466,dmitriy-mamin-sibiryak
825 dmitriy-mamin-sibiryak privalovskie-milliony,42.0,501.0,295.0,168.0,57.0,396.0,177.0,276.0,2855.0,2207.0,505.0,945.0,109.0,3.024461077844311,77.96558169375534,0.9644111776447133,10.349632448365748,-0.11754868833761023,45.461505560307955,78.0,415.0,63.0,28.0,225.0,41.0,35.0,27.0,11.0,1.0,,26.0,32.0,28.0,0.5888223552894212,13.179628022458724,9.31940434819681,0.9148038759199141,0.9103440124828927,0.03155601659456,31.68967784648687,0.875088495575219,0.8779999999999999,170.23910289153167,153.47934018288106,0.8823242519863852,130.33298647242455,1206.7456501982385,dmitriy-mamin-sibiryak
826 dmitriy-mamin-sibiryak privalovskie-milliony,44.0,500.0,300.0,183.0,81.0,361.0,158.0,284.0,2975.0,2289.0,507.0,1001.0,140.0,3.5927818181818196,71.74207272727273,1.7690000000000055,12.045686724819051,0.8057799999999986,47.96363636363637,101.0,443.0,95.0,16.0,239.0,35.0,52.0,22.0,5.0,5.0,,36.0,14.0,7.0,0.6,13.416407864998737,9.486832980505138,0.9178024397233219,0.9136109462879766,0.030455158873430976,32.835159526040044,0.8524611973392444,0.8540000000000001,170.42643044022296,132.37227806409777,0.8818268770884067,120.29893924783028,1327.3622972144353,dmitriy-mamin-sibiryak
827 dmitriy-mamin-sibiryak privalovskie-milliony,37.0,512.0,338.0,240.0,98.0,355.0,116.0,337.0,3331.0,2662.0,522.0,1124.0,109.0,6.216321790540537,56.90752956081079,5.736406250000002,14.438685494869583,5.38862288851351,60.71283783783784,92.0,460.0,84.0,34.0,235.0,48.0,41.0,14.0,17.0,1.0,1.0,32.0,8.0,12.0,0.66015625,14.937630752565816,10.5625,0.9334310484757982,0.9308822925408082,0.024570807812826757,40.69870260748886,0.8853131749460026,0.884,267.5923469108053,181.6755117399157,0.9095240653873549,157.79975874547648,1476.989107757791,dmitriy-mamin-sibiryak
828 dmitriy-mamin-sibiryak privalovskie-milliony,33.0,503.0,309.0,227.0,92.0,354.0,110.0,336.0,3234.0,2615.0,506.0,1106.0,86.0,6.930080125308756,54.87153834568346,5.967216699801195,14.812023348218,5.780032803180916,60.371648894511715,82.0,457.0,111.0,35.0,232.0,56.0,39.0,20.0,4.0,2.0,1.0,32.0,8.0,6.0,0.614314115308151,13.777629027892234,9.74225491429522,0.9216715970867148,0.9179275004521567,0.028993681945658552,34.49027280751204,0.8681057268722446,0.8760000000000001,180.9653663632257,141.82775240059922,0.9022792268503712,164.82114882506528,1209.832619394611,dmitriy-mamin-sibiryak
829 dmitriy-mamin-sibiryak privalovskie-milliony,32.0,496.0,298.0,219.0,97.0,354.0,137.0,314.0,3255.0,2611.0,510.0,1105.0,111.0,7.268104838709675,52.792862903225796,6.364556451612902,15.442877817354365,6.261096774193547,59.653225806451616,75.0,441.0,65.0,47.0,185.0,79.0,38.0,30.0,1.0,5.0,,32.0,4.0,19.0,0.6008064516129032,13.380595000994731,9.461509461514192,0.9179124776310654,0.9136191740479802,0.030453748984790436,32.83667966460982,0.8546756152125273,0.851111111111111,151.59430896529125,144.70346244131457,0.884807844994021,129.0851735015773,1217.0508175667862,dmitriy-mamin-sibiryak
830 dmitriy-mamin-sibiryak privalovskie-milliony,32.0,524.0,368.0,250.0,92.0,393.0,126.0,359.0,3492.0,2849.0,522.0,1182.0,103.0,7.900543893129772,49.97841603053436,7.4362213740458,15.04090557638197,7.588950858778624,64.08492366412213,87.0,470.0,102.0,57.0,221.0,104.0,45.0,19.0,7.0,7.0,,27.0,12.0,15.0,0.7022900763358778,16.076154642563097,11.367557963159964,0.9435583781038859,0.9419253746847535,0.02075569908171026,48.17953835538073,0.9184421052631553,0.9120000000000001,379.1380742913001,436.6733333333333,0.9325430160592593,246.00718132854578,1853.1739140926136,dmitriy-mamin-sibiryak
831 dmitriy-mamin-sibiryak privalovskie-milliony,30.0,487.0,334.0,235.0,92.0,354.0,122.0,324.0,3215.0,2607.0,498.0,1089.0,86.0,7.688152635181382,51.339674880219036,6.956447638603699,15.532540704505404,7.024374024640657,64.48795345653662,86.0,427.0,80.0,38.0,193.0,103.0,21.0,32.0,7.0,2.0,,31.0,16.0,13.0,0.6858316221765913,15.134984697943421,10.702050313070425,0.9390583332247895,0.9363986759321564,0.02267572467299768,44.10002389872033,0.8893150684931513,0.8822222222222224,288.257367977866,299.1640664961637,0.9058458526781831,149.42045454545453,1574.7976720099791,dmitriy-mamin-sibiryak
832 dmitriy-mamin-sibiryak privalovskie-milliony,35.0,495.0,299.0,222.0,93.0,348.0,128.0,313.0,3152.0,2500.0,506.0,1059.0,107.0,5.957575757575757,59.871709956709964,4.973030303030306,14.461739262539707,4.543233044733043,58.991341991342,111.0,424.0,66.0,39.0,222.0,78.0,49.0,15.0,13.0,2.0,,23.0,21.0,27.0,0.604040404040404,13.439050591767293,9.502843806147736,0.9187509878271645,0.914511971789873,0.030152473618395383,33.16477489229677,0.8793721973094154,0.8600000000000001,146.18459887308828,163.77013375769388,0.8894951434869726,135.85,1299.4950878728018,dmitriy-mamin-sibiryak
833 dmitriy-mamin-sibiryak privalovskie-milliony,37.0,505.0,332.0,247.0,107.0,341.0,108.0,340.0,3378.0,2701.0,517.0,1143.0,110.0,6.620412095263578,53.06343992507357,6.52247524752476,15.084880166520174,6.270148916242974,62.55953973775756,115.0,463.0,92.0,40.0,254.0,61.0,53.0,20.0,,,1.0,8.0,21.0,13.0,0.6574257425742575,14.773806095067496,10.446658473757372,0.9326179575427812,0.9298524487779871,0.024925926595494453,40.11886965039677,0.8931578947368417,0.89,264.7617575059627,224.09599181306498,0.910387178078786,166.57068062827224,1380.7580577467625,dmitriy-mamin-sibiryak
834 dmitriy-mamin-sibiryak privalovskie-milliony,26.0,534.0,391.0,316.0,138.0,356.0,96.0,398.0,3864.0,3205.0,540.0,1328.0,104.0,11.62815326995102,30.672827715355794,10.976179775280901,20.41862972620095,12.292761307980406,79.71449150100835,142.0,523.0,116.0,36.0,260.0,108.0,79.0,10.0,,13.0,11.0,10.0,1.0,,0.7322097378277154,16.920224806149495,11.964405699629145,0.9503712366279077,0.9492699156231176,0.018195421698647008,54.95888012721128,0.9214432989690706,0.924,558.3474125874127,1.0,0.9413358007423263,275.79651162790697,1666.3572367158831,dmitriy-mamin-sibiryak
835 dmitriy-mamin-sibiryak privalovskie-milliony,26.0,520.0,371.0,261.0,94.0,382.0,120.0,356.0,3492.0,2860.0,518.0,1190.0,91.0,9.915769230769232,43.29846153846154,8.170000000000005,16.8607154471829,9.0,70.1923076923077,145.0,474.0,76.0,40.0,243.0,104.0,50.0,21.0,6.0,6.0,5.0,24.0,10.0,12.0,0.7134615384615385,16.269426258145394,11.504221633149085,0.9460127932598491,0.9444542350957035,0.019877444873797674,50.30827686098599,0.8895116772823759,0.8880000000000001,365.7174343228585,162.7704753863373,0.9342470342586383,258.5057471264368,2056.402531609205,dmitriy-mamin-sibiryak
836 dmitriy-mamin-sibiryak privalovskie-milliony,38.0,530.0,338.0,227.0,64.0,410.0,151.0,323.0,3274.0,2598.0,527.0,1071.0,113.0,4.995719960278052,67.25606256206557,4.120943396226419,11.523796233156663,3.5580481628599827,56.77755710029791,147.0,477.0,55.0,30.0,218.0,92.0,60.0,16.0,6.0,4.0,1.0,22.0,20.0,11.0,0.6377358490566037,14.681781805391745,10.381587474493776,0.9282895056616414,0.9257519155139217,0.02632277264521929,37.98991897540926,0.8908108108108097,0.8920000000000001,214.4975744975745,221.32831396108136,0.9056079807515695,165.3125,1509.5167933197813,dmitriy-mamin-sibiryak
837 dmitriy-mamin-sibiryak privalovskie-milliony,48.0,524.0,300.0,194.0,56.0,386.0,131.0,311.0,3034.0,2341.0,508.0,991.0,132.0,2.5650826972010172,78.98092875318068,1.035458015267178,9.599537510616244,-0.010966603053432777,47.93956743002544,116.0,457.0,75.0,16.0,223.0,70.0,36.0,26.0,11.0,,,21.0,26.0,20.0,0.5725190839694656,13.105560849915568,9.267030948228232,0.9109302962006065,0.9067470974427015,0.032754267280978945,30.530373078463576,0.8297263157894723,0.834,136.90307434506332,111.36189653043586,0.8815198382747106,120.09290096406662,1087.7325147934905,dmitriy-mamin-sibiryak
838 dmitriy-mamin-sibiryak privalovskie-milliony,38.0,499.0,343.0,246.0,96.0,337.0,101.0,332.0,3297.0,2656.0,504.0,1100.0,93.0,5.936658052948001,57.27897742854131,6.279218436873752,14.102473091950756,5.963167413774919,62.4301761417572,122.0,461.0,61.0,49.0,226.0,57.0,45.0,18.0,7.0,1.0,2.0,14.0,18.0,6.0,0.687374749498998,15.35478879952949,10.857475283834551,0.9396588737789223,0.9372943491658755,0.022364298587373793,44.71412309637869,0.8854666666666632,0.8888888888888888,294.1494910941476,333.08087700145563,0.9093727065276522,150.79004854368932,1682.6336129978597,dmitriy-mamin-sibiryak
839 dmitriy-mamin-sibiryak privalovskie-milliony,31.0,510.0,367.0,258.0,97.0,365.0,114.0,348.0,3435.0,2812.0,514.0,1162.0,88.0,8.10383934218849,48.51417773561039,7.868039215686274,15.689179501619355,8.09059898798229,67.03984819734345,114.0,476.0,93.0,43.0,224.0,102.0,48.0,19.0,4.0,5.0,7.0,19.0,10.0,5.0,0.7196078431372549,16.25103314966075,11.491215741412494,0.9472205325987909,0.9455617189746667,0.019493296191226764,51.29968734841593,0.9184381778741868,0.9179999999999998,464.26969116292963,325.21923076923076,0.9306151961004123,221.87179487179486,1602.706862303133,dmitriy-mamin-sibiryak
840 dmitriy-mamin-sibiryak privalovskie-milliony,25.0,511.0,368.0,248.0,90.0,382.0,117.0,355.0,3376.0,2734.0,521.0,1143.0,94.0,9.754171428571428,45.831884540117414,7.384285714285717,16.824909835823263,8.186257573385525,68.97228962818004,143.0,490.0,91.0,37.0,241.0,92.0,59.0,9.0,3.0,6.0,3.0,9.0,10.0,2.0,0.7201565557729941,16.279361551500166,11.511246946453321,0.9473593334573279,0.9457259418868211,0.019435925391084456,51.451113331537826,0.9103030303030285,0.9040000000000001,425.1100495399859,396.8382352941177,0.9321183572211897,243.10634328358208,1845.7386874992121,dmitriy-mamin-sibiryak
841 dmitriy-mamin-sibiryak privalovskie-milliony,27.0,495.0,341.0,238.0,84.0,363.0,91.0,356.0,3250.0,2628.0,503.0,1100.0,96.0,8.615555555555556,49.44611111111112,6.960909090909091,15.644329453718461,7.337409090909091,66.41414141414141,139.0,461.0,105.0,30.0,262.0,45.0,55.0,12.0,4.0,6.0,4.0,23.0,3.0,8.0,0.6888888888888889,15.32681020666437,10.837691431091566,0.9399352380062481,0.9375090082099513,0.022290746717746796,44.86166446832619,0.8969955156950643,0.9044444444444445,275.8621250247392,306.9459786333401,0.9167345806655656,191.0390625,1670.6552233388131,dmitriy-mamin-sibiryak
842 dmitriy-mamin-sibiryak privalovskie-milliony,40.0,499.0,313.0,218.0,93.0,336.0,125.0,304.0,3129.0,2440.0,508.0,1043.0,122.0,4.7810666332665335,64.99766032064129,3.758176352705405,13.530947666985433,3.0692575400801587,56.162374749499,120.0,453.0,82.0,22.0,220.0,62.0,44.0,24.0,10.0,,2.0,23.0,8.0,15.0,0.627254509018036,14.011804356421957,9.907841877085174,0.924926367771761,0.9213729258690948,0.027824623641256273,35.93938997677132,0.8575555555555551,0.8466666666666666,194.09672286889628,180.17519611003655,0.8758726629606612,96.09512761020882,1431.3652047120693,dmitriy-mamin-sibiryak
843 dmitriy-mamin-sibiryak privalovskie-milliony,50.0,513.0,314.0,225.0,58.0,385.0,134.0,309.0,3118.0,2429.0,503.0,1018.0,141.0,2.92355984405458,74.23423196881093,2.300604288499027,9.572214028260445,1.4783588499025342,54.11964912280702,150.0,469.0,51.0,32.0,249.0,45.0,53.0,18.0,9.0,1.0,3.0,24.0,18.0,2.0,0.6120857699805068,13.863438670614125,9.802931494555065,0.921336352519993,0.9178227001323505,0.02902591913275367,34.45196672072209,0.8632327586206903,0.8640000000000001,170.51740357478832,176.65588547189822,0.8839738767147604,126.39846005774784,1395.0440207296892,dmitriy-mamin-sibiryak
844 dmitriy-mamin-sibiryak privalovskie-milliony,43.0,497.0,302.0,225.0,101.0,328.0,107.0,322.0,3250.0,2578.0,503.0,1088.0,103.0,5.05417247672079,60.242416592578735,5.171006036217303,13.599878571497444,4.673446469514758,56.82976931355575,82.0,433.0,62.0,50.0,213.0,70.0,26.0,32.0,6.0,3.0,,20.0,22.0,22.0,0.607645875251509,13.546551381290948,9.578858343402823,0.9197622960079782,0.9156770841808151,0.02975782590435496,33.604605498201174,0.8545535714285692,0.8422222222222223,174.2609847800485,174.2127961150689,0.8795196620935617,107.36585365853658,1252.7686606114867,dmitriy-mamin-sibiryak
845 dmitriy-mamin-sibiryak privalovskie-milliony,28.0,502.0,344.0,227.0,81.0,388.0,131.0,338.0,3259.0,2646.0,506.0,1108.0,93.0,8.30735059760956,50.876861126920886,6.707848605577691,15.08738911608566,6.984900540694369,63.147694934547516,108.0,471.0,100.0,51.0,243.0,73.0,51.0,7.0,2.0,2.0,4.0,22.0,7.0,2.0,0.6852589641434262,15.35347138810434,10.856543733282214,0.9392212949789949,0.936886385905519,0.02250476593754454,44.43503224051342,0.8954966887417186,0.898,297.9885231212042,378.6487204249155,0.9284158762375484,225.76481149012568,1386.6299682058007,dmitriy-mamin-sibiryak
846 dmitriy-mamin-sibiryak privalovskie-milliony,34.0,503.0,324.0,222.0,86.0,380.0,149.0,317.0,3177.0,2558.0,504.0,1090.0,97.0,6.478203134136358,57.36606654192494,5.2743737574552725,14.111081039521821,4.944899105367796,58.92930651385803,92.0,448.0,75.0,54.0,225.0,61.0,37.0,21.0,6.0,3.0,,35.0,14.0,6.0,0.6441351888667992,14.446445970993798,10.215179910134793,0.9292918127894676,0.9262124287819425,0.0261730178924476,38.207286760330256,0.8812334801762106,0.8779999999999999,226.6482213438735,156.62439659459932,0.9170070464274974,202.0048,1287.2176869972357,dmitriy-mamin-sibiryak
847 dmitriy-mamin-sibiryak privalovskie-milliony,53.0,520.0,281.0,192.0,46.0,393.0,143.0,296.0,2951.0,2252.0,505.0,937.0,137.0,1.371585631349781,85.784706095791,-0.07807692307692093,8.286636976293499,-1.1773091436865037,46.7343976777939,96.0,440.0,52.0,23.0,215.0,53.0,13.0,39.0,10.0,1.0,3.0,37.0,17.0,26.0,0.5403846153846154,12.322665171263761,8.713440104891895,0.9015844275905793,0.896311462644227,0.03623543860506156,27.597292553823667,0.8264968152866244,0.818,88.96423826983369,96.26428787747685,0.8612963603271245,99.95555555555555,1122.3484405314389,dmitriy-mamin-sibiryak
848 dmitriy-mamin-sibiryak privalovskie-milliony,21.0,522.0,325.0,228.0,71.0,412.0,151.0,332.0,3318.0,2685.0,524.0,1093.0,95.0,10.875249042145594,48.67914340448823,6.552183908045979,16.30655325736436,8.131853858784893,68.5353037766831,155.0,487.0,60.0,30.0,252.0,36.0,45.0,18.0,3.0,1.0,1.0,20.0,10.0,5.0,0.6226053639846744,14.224863559803277,10.05849748459031,0.9242781117887358,0.9212400195120627,0.027862792096250404,35.89015761756962,0.873361522198731,0.8760000000000001,184.9651086303356,160.1240848806366,0.9007857068317152,162.85149700598802,1380.067052305836,dmitriy-mamin-sibiryak
849 dmitriy-mamin-sibiryak privalovskie-milliony,31.0,502.0,346.0,218.0,63.0,392.0,150.0,305.0,3109.0,2467.0,504.0,1021.0,106.0,6.192049865055907,63.548128132630765,4.537529880478086,12.653709131480614,4.266075183138419,59.61984320781391,143.0,449.0,42.0,41.0,217.0,75.0,49.0,15.0,11.0,4.0,3.0,28.0,14.0,11.0,0.6892430278884463,15.442735756639832,10.919663173591996,0.9401535172754518,0.937884919852786,0.022159588386027548,45.12719201185784,0.9071523178807922,0.908,328.2904697580733,402.06787800129786,0.915316333597198,181.72109826589596,1668.6490823788865,dmitriy-mamin-sibiryak
850 dmitriy-mamin-sibiryak privalovskie-milliony,36.0,512.0,350.0,250.0,98.0,377.0,122.0,353.0,3395.0,2741.0,518.0,1173.0,119.0,7.103302951388887,50.65607204861112,6.653398437500002,14.637159498073032,6.462341145833335,63.05034722222222,133.0,479.0,81.0,38.0,258.0,48.0,52.0,17.0,2.0,1.0,2.0,21.0,7.0,5.0,0.68359375,15.467960838455726,10.9375,0.9390234568702588,0.9368755576849226,0.022506632416866495,44.43134723480883,0.9174082073434094,0.9179999999999999,300.06973337070633,315.42922374429224,0.9275298599252121,229.90509666080843,1554.4991579369523,dmitriy-mamin-sibiryak
851 dmitriy-mamin-sibiryak privalovskie-milliony,31.0,495.0,336.0,248.0,95.0,353.0,113.0,335.0,3317.0,2682.0,501.0,1120.0,108.0,7.751365265558814,50.093097100032594,7.278080808080809,15.527111091606713,7.356769794721409,66.06875203649398,124.0,447.0,77.0,42.0,243.0,53.0,57.0,23.0,2.0,6.0,5.0,30.0,8.0,10.0,0.6787878787878788,15.102076919176623,10.678780999550634,0.9375545175930342,0.9349505572128354,0.02317426034495872,43.15132328344356,0.8913901345291461,0.8977777777777778,271.77421612541997,267.7856290690936,0.9156357542633153,183.30584707646176,1616.7631193601417,dmitriy-mamin-sibiryak
852 dmitriy-mamin-sibiryak privalovskie-milliony,40.0,492.0,311.0,223.0,106.0,339.0,138.0,307.0,3107.0,2456.0,503.0,1068.0,100.0,5.283341463414633,60.384024390243894,4.279756097560984,14.442355609836774,3.659255691056906,57.62520325203252,88.0,431.0,83.0,33.0,218.0,50.0,30.0,30.0,6.0,1.0,,23.0,26.0,12.0,0.6321138211382114,14.020962819078571,9.91431788813491,0.9260002614685684,0.9223639517248452,0.027489115091187215,36.37803533081324,0.8912866817155753,0.8977777777777778,185.53761544632727,164.66619738238415,0.8951631778197692,144.65389221556887,1443.4502533804293,dmitriy-mamin-sibiryak
853 dmitriy-mamin-sibiryak privalovskie-milliony,43.0,505.0,334.0,239.0,73.0,372.0,118.0,327.0,3207.0,2537.0,512.0,1064.0,107.0,4.5452452221966375,64.94102348606954,4.320495049504949,11.569566771569631,3.702996661294037,59.07091871977896,140.0,460.0,56.0,34.0,225.0,69.0,52.0,14.0,4.0,2.0,1.0,21.0,12.0,12.0,0.6613861386138614,14.862804926965492,10.509590151310128,0.9335828491296229,0.9308922695020596,0.02456899445171897,40.70170645221644,0.8673684210526297,0.866,241.10559566787003,228.75924944812363,0.9045224241811506,159.47368421052633,1736.3448467146786,dmitriy-mamin-sibiryak
854 dmitriy-mamin-sibiryak privalovskie-milliony,41.0,521.0,333.0,228.0,64.0,392.0,136.0,320.0,3195.0,2531.0,503.0,1046.0,114.0,4.292631431112778,69.6540674593886,3.634491362763921,11.096049950647298,2.9352661626328356,56.46931323439914,148.0,481.0,72.0,14.0,223.0,74.0,46.0,19.0,4.0,2.0,2.0,22.0,6.0,12.0,0.6391554702495201,14.588994879466174,10.315977209966348,0.9284486194644267,0.9257202910669245,0.0263362732054074,37.97044449685762,0.8743220338983045,0.8700000000000001,234.61565977742447,173.39885852413886,0.9044373618811676,163.7968561064087,1459.2047771915188,dmitriy-mamin-sibiryak
855 dmitriy-mamin-sibiryak privalovskie-milliony,36.0,493.0,339.0,254.0,109.0,332.0,108.0,333.0,3367.0,2715.0,504.0,1134.0,107.0,6.911758508000897,50.79003155285102,7.403265720081134,15.43405921003224,7.275733857336036,65.21574261888664,144.0,454.0,47.0,51.0,241.0,70.0,58.0,23.0,2.0,9.0,2.0,16.0,16.0,7.0,0.6876267748478702,15.267792134864424,10.79595935230927,0.9396002721469948,0.9371080138873186,0.022429692315824874,44.583759149226836,0.8976576576576555,0.9066666666666667,284.9482358113871,189.20510921880785,0.9091865130373508,163.00806451612902,1722.4058596886437,dmitriy-mamin-sibiryak
856 dmitriy-mamin-sibiryak privalovskie-milliony,44.0,504.0,287.0,202.0,63.0,355.0,126.0,292.0,2996.0,2312.0,499.0,980.0,117.0,3.21717171717172,75.08297979797979,1.8446031746031792,10.629201293103371,0.8895079365079361,51.533910533910536,84.0,420.0,40.0,31.0,168.0,84.0,29.0,40.0,11.0,1.0,1.0,19.0,26.0,39.0,0.5694444444444444,12.783996071477633,9.039650312804017,0.909507890614208,0.9045903980221213,0.03348545250854633,29.863714690574213,0.8175824175824168,0.808,109.97726084439944,108.30769997342546,0.8440088687865402,71.73514431239389,1231.1072443807395,dmitriy-mamin-sibiryak
857 dmitriy-mamin-sibiryak privalovskie-milliony,43.0,491.0,310.0,209.0,74.0,354.0,123.0,305.0,3075.0,2407.0,503.0,1014.0,120.0,4.080880026523943,67.87390967650263,3.5671486761710796,11.648199539503516,2.8509430445696964,53.98479609719131,109.0,460.0,59.0,21.0,185.0,68.0,43.0,20.0,5.0,1.0,1.0,13.0,12.0,6.0,0.6313645621181263,13.99010415460225,9.892497517225342,0.9257845595262375,0.9221028721159092,0.027578295451474638,36.26039911565778,0.8525791855203609,0.8533333333333333,173.21933439120937,162.75699661150654,0.8904821321464302,119.93519441674975,1438.336659582966,dmitriy-mamin-sibiryak
858 dmitriy-mamin-sibiryak privalovskie-milliony,35.0,508.0,312.0,204.0,77.0,379.0,155.0,301.0,3048.0,2397.0,513.0,1026.0,109.0,5.265700787401574,66.58335770528686,3.210354330708668,13.163550243927082,2.5690917885264355,54.67176602924634,110.0,457.0,76.0,20.0,214.0,53.0,58.0,21.0,6.0,3.0,3.0,29.0,9.0,13.0,0.6141732283464567,13.842761546891376,9.788310560155272,0.9217591346879844,0.9181539083666873,0.028915301593654658,34.58376516534228,0.891503267973855,0.89,183.15777070942534,199.6070345226058,0.8968041463818186,151.86084905660377,1241.5139385773277,dmitriy-mamin-sibiryak
859 dmitriy-mamin-sibiryak privalovskie-milliony,42.0,497.0,310.0,217.0,80.0,362.0,121.0,321.0,3118.0,2485.0,503.0,1045.0,100.0,4.5574279007377605,65.08446344735079,4.212253521126765,12.251951444241167,3.579250000000002,55.49530516431925,122.0,446.0,87.0,27.0,230.0,45.0,61.0,15.0,6.0,,1.0,36.0,10.0,5.0,0.6237424547283702,13.905400424503954,9.832602935281043,0.9239734421771448,0.9202824475287086,0.02819603452293271,35.46598012520764,0.8687946428571431,0.88,159.81276085029674,166.25888089157186,0.8990521621502013,154.07,1326.77854048783,dmitriy-mamin-sibiryak
860 dmitriy-mamin-sibiryak privalovskie-milliony,27.0,494.0,330.0,195.0,63.0,386.0,129.0,320.0,3023.0,2401.0,501.0,1009.0,105.0,7.285509071824858,60.29495651521968,4.48882591093118,13.555085461904095,4.517738641475482,57.76998050682261,115.0,447.0,64.0,44.0,241.0,40.0,33.0,35.0,8.0,1.0,2.0,45.0,1.0,1.0,0.6680161943319838,14.847401931972968,10.498698589100332,0.9349551708959326,0.9321274085283091,0.024146778919094926,41.41339113388803,0.9026067415730316,0.9000000000000001,260.26462703757204,355.8241091470258,0.9137450715696627,184.7814871016692,1457.2621199095145,dmitriy-mamin-sibiryak
861 dmitriy-mamin-sibiryak privalovskie-milliony,48.0,507.0,301.0,182.0,52.0,369.0,139.0,282.0,2883.0,2201.0,500.0,915.0,122.0,1.760181213017752,84.6392529585799,0.23311637080868053,9.252164600426,-0.9011635231755406,46.4599358974359,140.0,464.0,54.0,17.0,245.0,22.0,48.0,17.0,4.0,3.0,1.0,10.0,12.0,21.0,0.5936883629191322,13.367879309698258,9.452518109970981,0.9162880600930651,0.9121454515630949,0.030947021659620624,32.313287236451266,0.8409606986899549,0.8360000000000001,119.974297008156,108.31788438595856,0.8636078566743074,96.73529411764706,1480.3770831987897,dmitriy-mamin-sibiryak
862 dmitriy-mamin-sibiryak privalovskie-milliony,55.0,491.0,279.0,202.0,55.0,358.0,135.0,278.0,2855.0,2180.0,499.0,914.0,117.0,1.373365673023514,83.35296704314017,0.16898167006110043,8.891153770860452,-0.7420099796334014,50.067802258840956,114.0,444.0,76.0,21.0,234.0,32.0,55.0,23.0,1.0,,,18.0,18.0,11.0,0.5682281059063137,12.591093739142025,8.903247765502808,0.908781176055833,0.9033773366057573,0.03389671558114181,29.501383330376196,0.8148868778280528,0.8133333333333332,105.86726726726727,96.30499630256912,0.8501201543583613,86.04792560801144,1272.5622649191666,dmitriy-mamin-sibiryak
863 dmitriy-mamin-sibiryak privalovskie-milliony,48.0,520.0,326.0,206.0,58.0,385.0,121.0,322.0,3065.0,2390.0,501.0,1016.0,131.0,2.981410256410257,75.32551282051283,1.718076923076925,9.768568996170853,0.7706730769230781,50.44871794871795,130.0,476.0,88.0,26.0,252.0,50.0,61.0,16.0,6.0,3.0,4.0,19.0,17.0,8.0,0.6269230769230769,14.296045714704578,10.10883086902049,0.925336710633252,0.9223372789991199,0.027490131608905493,36.37669016018998,0.8818683651804655,0.876,206.63466039022697,229.93125,0.9037030792764951,163.9611178614824,1383.4642031639758,dmitriy-mamin-sibiryak
864 dmitriy-mamin-sibiryak privalovskie-milliony,31.0,504.0,342.0,238.0,90.0,358.0,119.0,329.0,3327.0,2705.0,507.0,1121.0,94.0,7.613157962109579,52.024714541730674,7.036071428571429,15.11431373767477,7.1182045570916515,63.48028673835125,163.0,473.0,65.0,34.0,239.0,63.0,54.0,8.0,3.0,6.0,4.0,26.0,3.0,2.0,0.6785714285714286,15.23389078900819,10.771987480762975,0.9376840854489119,0.9352793027215189,0.023059210481336363,43.366619200140384,0.8901978021978013,0.884,271.7798027444254,251.8064978499761,0.9090938322485788,171.7560975609756,1848.4624869287388,dmitriy-mamin-sibiryak
865 dmitriy-mamin-sibiryak privalovskie-milliony,38.0,486.0,305.0,212.0,100.0,332.0,119.0,313.0,3082.0,2433.0,503.0,1047.0,108.0,5.403385315139701,60.733992852501615,4.4673251028806575,14.392245291445828,3.886089343729701,56.41087286116526,108.0,457.0,91.0,37.0,240.0,29.0,60.0,12.0,3.0,2.0,2.0,21.0,3.0,5.0,0.6275720164609053,13.835080954608692,9.782879561268658,0.924687821633903,0.9207731614883444,0.028032145336434614,35.67333102758482,0.8854462242562934,0.88,177.19062134309766,175.3275252010997,0.889977015070627,127.2732181425486,1280.3500970703112,dmitriy-mamin-sibiryak
866 dmitriy-mamin-sibiryak privalovskie-milliony,34.0,502.0,336.0,211.0,92.0,352.0,130.0,314.0,3142.0,2474.0,507.0,1059.0,119.0,6.044506679165689,60.85622099835952,4.405059760956178,14.593314615313801,3.9525756972111523,56.7965783923131,103.0,458.0,93.0,40.0,250.0,40.0,55.0,23.0,3.0,1.0,1.0,30.0,9.0,5.0,0.6693227091633466,14.99641391396238,10.604065972043093,0.9354374052035963,0.9328231356656698,0.023905841424417488,41.83078027860577,0.8814569536423823,0.8699999999999999,254.60055046206006,236.42640881147543,0.9111761059944472,174.17036011080333,1538.0278795944512,dmitriy-mamin-sibiryak
