,n_sents,n_words,n_unique_words,n_long_words,n_complex_words,n_simple_words,n_monosyllable_words,n_polysyllable_words,n_chars,n_letters,n_spaces,n_syllables,n_punctuations,flesch_kincaid_grade,flesch_reading_easy,coleman_liau_index,smog_index,automated_readability_index,lix,,neut,femn,masc,sing,plur,past,pres,futr,actv,pssv,1per,3per,2per,ttr,rttr,cttr,httr,sttr,mttr,dttr,mattr,msttr,mtld,mamtld,hdd,simpson_index,hapax_index,author
otrochestvo. Text/chapter20.xhtml,35.0,770.0,491.0,347.0,143.0,556.0,204.0,495.0,4916.0,3926.0,766.0,1718.0,178.0,10.47753246753247,44.14175324675327,7.0488701298701315,17.920756639189705,7.0488701298701315,67.06493506493507,656.0,73.0,96.0,162.0,361.0,105.0,19.0,77.0,5.0,9.0,4.0,27.0,86.0,1.0,0.6376623376623377,17.694411767340778,12.511838549793708,0.9323021441415383,0.9338720899047508,0.023453342589353512,42.63784559450998,0.8707073509015234,0.876,263.5781862039967,227.31594291263013,0.9061014309970593,145.34364261168386,1629.0424667352738,lev-tolstoi
otrochestvo. Text/chapter21.xhtml,25.0,471.0,299.0,236.0,67.0,386.0,125.0,328.0,3121.0,2517.0,468.0,1064.0,121.0,9.132470488322717,46.57569639065818,7.697741019108285,14.523592504972633,7.697741019108285,68.94615711252654,391.0,18.0,118.0,50.0,207.0,64.0,10.0,53.0,3.0,3.0,,4.0,76.0,,0.6348195329087049,13.777192759764333,9.741946426143565,0.9261697810600213,0.9219924837109519,0.027620516825392127,36.20497061375328,0.8477725118483421,0.8488888888888888,167.66480071104735,129.31629318394025,0.8860230658584419,118.12700106723585,1480.0615763547037,lev-tolstoi
otrochestvo. Text/chapter22.xhtml,37.0,766.0,462.0,320.0,103.0,606.0,213.0,496.0,4788.0,3763.0,780.0,1612.0,219.0,8.91672641309717,53.44472408439772,5.519562416202099,14.80117769004371,5.519562416202099,62.47815962176276,642.0,49.0,141.0,161.0,388.0,71.0,76.0,51.0,1.0,4.0,2.0,33.0,81.0,10.0,0.6031331592689295,16.69273852854125,11.80354861010547,0.9238663741279962,0.9252421327653014,0.026396528137295344,37.88376997151802,0.8768479776847957,0.8786666666666666,233.14906335986066,204.9758064516129,0.9036395758294866,153.07993730407523,1388.035095385691,lev-tolstoi
otrochestvo. Text/chapter23.xhtml,25.0,599.0,389.0,260.0,109.0,444.0,164.0,389.0,3826.0,3039.0,596.0,1325.0,144.0,11.298146243739563,42.74459599332221,7.4406130550918235,18.51087105203869,7.4406130550918235,67.36567612687813,489.0,63.0,96.0,94.0,286.0,87.0,15.0,68.0,3.0,,5.0,51.0,59.0,,0.6494156928213689,15.894109113363749,11.23883233497841,0.9324996721597423,0.9315861225351602,0.02430318858308923,41.14686418949261,0.8882909090909095,0.889090909090909,277.08233532934133,283.6741460541814,0.9137031339358901,179.2802802802803,1440.558711879256,lev-tolstoi
otrochestvo. Text/chapter24.xhtml,14.0,252.0,180.0,114.0,44.0,187.0,60.0,171.0,1615.0,1281.0,252.0,554.0,70.0,8.278412698412698,51.31039682539682,5.830666666666666,15.723690421485665,5.830666666666666,63.23809523809524,199.0,18.0,23.0,42.0,115.0,25.0,5.0,22.0,1.0,,2.0,38.0,15.0,,0.7142857142857143,11.338934190276817,8.017837257372731,0.9391488286953245,0.9283360961402651,0.025339867411236318,39.46350562026128,0.8590147783251229,0.8560000000000001,208.88868613138686,168.80913642052565,0.8940709025876581,147.78504672897196,1662.5080666949145,lev-tolstoi
otrochestvo. Text/chapter25.xhtml,28.0,534.0,336.0,239.0,87.0,415.0,144.0,358.0,3481.0,2794.0,538.0,1189.0,117.0,9.009119850187261,48.22397806313535,7.063168673087212,15.634380917169237,7.063168673087212,63.827982878544674,482.0,54.0,51.0,134.0,240.0,80.0,54.0,10.0,,1.0,3.0,14.0,38.0,,0.6292134831460674,14.540142032905958,10.281433030883358,0.9262332039450409,0.9236304636379462,0.027045162328844925,36.97518941986358,0.8643298969072145,0.8779999999999999,173.1653589310282,149.5952166645236,0.899143302736117,149.4863445378151,1502.3833809206471,lev-tolstoi
otrochestvo. Text/chapter26.xhtml,83.0,1118.0,564.0,438.0,139.0,893.0,367.0,665.0,7047.0,5299.0,1193.0,2253.0,428.0,4.721242752764184,68.21029258357221,2.4089094337996,11.491350708028158,2.4089094337996,52.64698148587193,933.0,85.0,95.0,230.0,513.0,116.0,105.0,65.0,18.0,1.0,5.0,104.0,53.0,28.0,0.5044722719141324,16.867790648439133,11.927329151146342,0.9025198056197208,0.9079832852785071,0.031977056037857665,31.272422289784874,0.8402806361085111,0.8354545454545454,127.59969516355468,123.0895369676548,0.8987757022008861,155.32412935323384,1116.4423228587195,lev-tolstoi
otrochestvo. Text/chapter27.xhtml,42.0,850.0,448.0,314.0,120.0,692.0,324.0,488.0,5155.0,4032.0,877.0,1734.0,219.0,8.218666666666667,57.92147619047617,4.331279831932775,14.994277452303562,4.331279831932775,57.17927170868347,706.0,58.0,86.0,143.0,340.0,138.0,72.0,46.0,12.0,,5.0,79.0,36.0,29.0,0.5270588235294118,15.366273228768792,10.865596001627717,0.9050525313144385,0.9071809525522959,0.03241170726799001,30.853049230998263,0.8331086142322093,0.831764705882353,141.7481165741475,118.05090897074032,0.8863471939792967,129.7931654676259,1066.9753485528481,lev-tolstoi
otrochestvo. Text/annotation.xhtml,10.0,164.0,132.0,87.0,45.0,93.0,29.0,109.0,1212.0,955.0,153.0,403.0,53.0,9.384414634146342,37.83024390243904,10.013248780487807,18.804919354665323,10.013248780487807,69.44878048780487,150.0,20.0,33.0,48.0,101.0,11.0,3.0,11.0,1.0,2.0,3.0,,14.0,,0.8048780487804879,10.307468284648001,7.288480720939871,0.9574372175605321,0.945301661151854,0.01921705788739253,52.037101925787304,0.8972173913043493,0.8666666666666667,168.82509259259265,11.125,0.9337273596298232,272.7755102040816,1328.906308828619,lev-tolstoi
detstvo. Text/chapter1.xhtml,75.0,1598.0,903.0,681.0,171.0,1316.0,467.0,1020.0,9954.0,7774.0,1618.0,3310.0,429.0,8.971042636629118,54.64884897788903,5.3903623028786,13.399849437353218,5.3903623028786,63.92243637880685,1410.0,93.0,281.0,392.0,825.0,177.0,147.0,54.0,24.0,4.0,12.0,77.0,89.0,22.0,0.565081351689612,22.589122616332837,15.972921783063354,0.9226211693752302,0.9308264353459765,0.024153886752191798,41.4012042972445,0.8915171078114973,0.8812903225806455,295.53456217238124,281.87635751703203,0.9137765830868568,175.05871861709426,1522.5420146342678,lev-tolstoi
detstvo. Text/chapter2.xhtml,33.0,672.0,433.0,283.0,99.0,522.0,165.0,456.0,4296.0,3343.0,682.0,1457.0,181.0,9.21571158008658,50.05617153679654,5.813636904761907,15.363327528659473,5.813636904761907,62.4767316017316,595.0,53.0,149.0,123.0,328.0,70.0,83.0,24.0,2.0,2.0,3.0,25.0,45.0,7.0,0.6443452380952381,16.703337633396448,11.811043309023088,0.9324879920993518,0.9327471717884611,0.023878029850599905,41.8795020467267,0.89162118780096,0.8861538461538463,310.10929211401304,239.38264060580616,0.9286531406244343,233.63316062176165,1391.1941991276208,lev-tolstoi
detstvo. Text/chapter3.xhtml,66.0,1123.0,615.0,460.0,146.0,925.0,354.0,717.0,7097.0,5585.0,1164.0,2360.0,335.0,7.088474999325403,58.41432351115789,4.865519367764918,13.199626103683203,4.865519367764918,57.97686122129577,974.0,91.0,125.0,233.0,458.0,173.0,112.0,41.0,30.0,1.0,2.0,52.0,61.0,36.0,0.5476402493321461,18.352077630046956,12.976878541068144,0.9142714476945845,0.9196355350095097,0.02810422280355163,35.581841454574096,0.8772067039106148,0.8854545454545456,227.1551671740798,197.5744239501774,0.9124582247827231,180.620126146789,1267.5564527708088,lev-tolstoi
detstvo. Text/chapter4.xhtml,44.0,920.0,547.0,343.0,95.0,742.0,300.0,537.0,5620.0,4188.0,928.0,1767.0,291.0,7.676215415019765,64.22198616600791,3.3216086956521735,13.041054614618476,3.3216086956521735,58.19169960474308,814.0,69.0,108.0,235.0,433.0,90.0,115.0,38.0,4.0,5.0,4.0,48.0,52.0,6.0,0.5945652173913043,18.034055947374775,12.752003252686292,0.9238135405885796,0.9270618051056242,0.02570577377654427,38.90176614377854,0.8741446613088368,0.8688888888888888,210.9873842710347,184.610448145715,0.9120817759312042,178.22091062394603,1501.103649590758,lev-tolstoi
detstvo. Text/chapter5.xhtml,64.0,1243.0,710.0,486.0,148.0,1010.0,382.0,776.0,7743.0,5926.0,1282.0,2522.0,385.0,7.73814272425583,59.64593498592116,4.252373346993167,13.494659720498694,4.252373346993167,58.52082914320193,1074.0,93.0,156.0,291.0,566.0,149.0,150.0,59.0,10.0,4.0,8.0,47.0,100.0,22.0,0.5711987127916331,20.138298986807687,14.239927775133895,0.9214040881908856,0.9275359801880503,0.0253988189069371,39.37190952319728,0.8902345058626493,0.8975000000000001,310.75,274.3048590211265,0.9139829492272499,172.29977678571427,1417.467420216495,lev-tolstoi
detstvo. Text/chapter6.xhtml,32.0,648.0,424.0,296.0,93.0,518.0,178.0,433.0,4161.0,3325.0,659.0,1410.0,160.0,9.216759259259259,49.73685185185187,6.7612669753086365,15.122157692248315,6.7612669753086365,65.92901234567901,596.0,57.0,109.0,127.0,282.0,105.0,83.0,17.0,11.0,3.0,7.0,14.0,38.0,,0.654320987654321,16.656293067949786,11.777777777777779,0.9344818655404069,0.9344489509885162,0.02330300074612652,42.91292829170176,0.8899833055091807,0.8950000000000001,309.37906137184115,339.6600661430343,0.912992549752806,174.10963455149502,1753.0997095428409,lev-tolstoi
detstvo. Text/chapter7.xhtml,68.0,1170.0,735.0,527.0,184.0,936.0,308.0,812.0,7553.0,6074.0,1180.0,2631.0,296.0,8.256523378582202,49.319404223227735,6.2847457264957285,14.593314615313801,6.2847457264957285,62.24861739567622,1082.0,101.0,202.0,277.0,569.0,166.0,198.0,28.0,2.0,8.0,11.0,47.0,39.0,2.0,0.6282051282051282,21.487921473022215,15.194254987178036,0.9341961237814117,0.9392831129062281,0.02144716102079228,46.62621775583885,0.8910615521855472,0.8886956521739131,376.87752355316286,366.2643672091541,0.9164977878368515,170.7101847229156,1833.4281368970965,lev-tolstoi
detstvo. Text/chapter8.xhtml,32.0,510.0,337.0,222.0,65.0,416.0,148.0,333.0,3206.0,2506.0,522.0,1080.0,143.0,6.678198529411766,58.845661764705895,4.1903903186274505,12.65058282382208,4.1903903186274505,59.466911764705884,457.0,29.0,77.0,85.0,194.0,81.0,55.0,31.0,7.0,4.0,2.0,29.0,18.0,6.0,0.6607843137254902,14.922610821350606,10.55187930478477,0.933541787091952,0.9309578421238532,0.02454533348562196,40.74094167780507,0.8723644251626841,0.8700000000000001,230.36015460295152,175.6914126094631,0.9024237895075028,145.51008968609867,1361.8673870820965,lev-tolstoi
detstvo. Text/chapter9.xhtml,20.0,363.0,265.0,161.0,52.0,282.0,94.0,240.0,2326.0,1851.0,360.0,776.0,83.0,7.909009641873279,54.76176308539945,5.971901446280995,14.305932098603726,5.971901446280995,62.5026170798898,328.0,40.0,75.0,57.0,177.0,32.0,51.0,12.0,,2.0,2.0,19.0,16.0,,0.7300275482093664,13.908892848659166,9.835072452083972,0.9466149469036291,0.9416334289121363,0.020854297017813224,47.95174822463806,0.9051592356687892,0.9085714285714286,376.48285714285726,1.0,0.9125034782207324,178.0569105691057,1884.3757100960277,lev-tolstoi
detstvo. Text/chapter10.xhtml,24.0,608.0,385.0,261.0,102.0,475.0,201.0,376.0,3872.0,3109.0,606.0,1330.0,136.0,11.792083333333334,42.43291666666667,8.076427631578952,18.276505424792767,8.076427631578952,68.2609649122807,550.0,62.0,102.0,167.0,305.0,87.0,65.0,13.0,2.0,3.0,3.0,5.0,52.0,1.0,0.6332236842105263,15.613811783835896,11.040632192520784,0.9287177719653367,0.9277725376924303,0.025605135380904625,39.05466560218868,0.8588193202146687,0.8533333333333334,215.5563651082777,199.12890537072886,0.8869011652603572,121.88110964332893,1674.6919969062542,lev-tolstoi
detstvo. Text/chapter11.xhtml,54.0,926.0,539.0,370.0,112.0,729.0,268.0,573.0,5725.0,4424.0,957.0,1854.0,263.0,6.4283593312535,64.21260179185664,3.677442164626825,12.782716680821657,3.677442164626825,57.1049516038717,808.0,66.0,108.0,250.0,444.0,110.0,116.0,29.0,8.0,,10.0,52.0,59.0,7.0,0.58207343412527,17.712639018325884,12.524727162567665,0.9207775395728373,0.9240985106772658,0.02670470135208752,37.44658990248657,0.8740478905359167,0.8788888888888887,209.715610066406,214.58295056673194,0.9113197145080806,176.53544929925803,1259.057733717766,lev-tolstoi
detstvo. Text/chapter12.xhtml,42.0,760.0,479.0,325.0,115.0,598.0,197.0,516.0,4806.0,3850.0,769.0,1647.0,184.0,8.0965350877193,53.06816416040101,5.747556390977444,14.679625845555737,5.747556390977444,60.85839598997494,699.0,79.0,107.0,206.0,384.0,105.0,119.0,11.0,2.0,1.0,7.0,20.0,38.0,3.0,0.6302631578947369,17.37515619013478,12.286090766219722,0.930409215159421,0.9318281533987606,0.024156642771697972,41.39648085418577,0.8630098452883257,0.8693333333333333,259.3609549532829,238.97734102399772,0.9053769786605413,152.28088701161562,1623.4231890617632,lev-tolstoi
detstvo. Text/chapter13.xhtml,50.0,1009.0,593.0,454.0,146.0,810.0,269.0,687.0,6495.0,5157.0,1028.0,2229.0,276.0,9.424760951437062,47.83301189296333,6.615356204162538,15.157770186231986,6.615356204162538,65.17504459861249,887.0,70.0,319.0,137.0,554.0,83.0,140.0,27.0,13.0,3.0,11.0,44.0,66.0,12.0,0.5877106045589693,18.668486508109563,13.200613404373843,0.9231541823261773,0.9273039408350647,0.025582091168133217,39.089845838938594,0.869583333333334,0.865,238.62867666146383,220.8642040558396,0.9029935459593331,148.0885264997088,1496.8970265365442,lev-tolstoi
detstvo. Text/chapter14.xhtml,72.0,1350.0,781.0,567.0,168.0,1100.0,393.0,875.0,8398.0,6632.0,1375.0,2826.0,331.0,7.878833333333333,56.650666666666666,4.97220462962963,13.555085461904095,4.97220462962963,60.75,1218.0,93.0,248.0,267.0,596.0,211.0,188.0,33.0,7.0,7.0,8.0,62.0,65.0,5.0,0.5785185185185185,21.256127656818467,15.030352007903257,0.9240711207827598,0.9308005458806655,0.02425584133596882,41.2271826051693,0.8815065334358164,0.8799999999999998,249.5066413662239,260.87893507030606,0.9119189286019802,161.04969932790945,1455.232543568214,lev-tolstoi
detstvo. Text/chapter15.xhtml,42.0,737.0,451.0,305.0,89.0,620.0,194.0,515.0,4672.0,3689.0,760.0,1600.0,206.0,7.856365897783807,53.54819700200298,5.216082719519285,12.92002238500292,5.216082719519285,58.931608192802216,578.0,53.0,160.0,87.0,369.0,113.0,28.0,62.0,25.0,,3.0,46.0,79.0,34.0,0.6119402985074627,16.612798518818728,11.747022487142555,0.9256169609998468,0.9266255609711369,0.02594032515280236,38.55001793961588,0.8561046511627858,0.8514285714285715,202.12767704668988,172.2207741482934,0.908317339344942,156.77225433526013,1220.0262613438042,lev-tolstoi
detstvo. Text/chapter16.xhtml,72.0,1586.0,863.0,665.0,218.0,1298.0,488.0,1028.0,10095.0,8065.0,1609.0,3423.0,396.0,9.95890745411237,48.4874765307552,6.9716416036149695,15.43405921003224,6.9716416036149695,63.9571598710943,1409.0,135.0,262.0,324.0,763.0,178.0,221.0,40.0,15.0,4.0,19.0,90.0,77.0,10.0,0.5441361916771753,21.670014615071267,15.323014282728485,0.9174164533311043,0.9259023494744956,0.02580491345571708,38.752309776820816,0.8752635003253115,0.8774193548387097,233.14759125645634,247.308837800883,0.9102103113250024,166.1254295532646,1542.939467549222,lev-tolstoi
detstvo. Text/chapter17.xhtml,35.0,996.0,566.0,411.0,148.0,774.0,269.0,653.0,6400.0,4915.0,1031.0,2132.0,312.0,12.980104417670685,41.19292312105566,7.833694434882389,18.23049818585053,7.833694434882389,69.72220309810672,886.0,73.0,187.0,166.0,448.0,107.0,89.0,59.0,4.0,3.0,2.0,48.0,47.0,15.0,0.5682730923694779,17.934396289842727,12.68153323303465,0.9181381996914029,0.9222177831212047,0.0273031085935465,36.62586611974159,0.8970432946145737,0.9021052631578947,216.89894402599322,221.7477826060108,0.9172174051324968,195.23640661938535,1285.6172617786465,lev-tolstoi
detstvo. Text/chapter18.xhtml,41.0,1232.0,704.0,518.0,218.0,926.0,351.0,793.0,7932.0,6259.0,1250.0,2700.0,298.0,14.132279062401015,36.058923028191316,9.191718641114981,20.4366216294759,9.191718641114981,72.09423503325942,1090.0,118.0,196.0,275.0,588.0,140.0,128.0,33.0,3.0,1.0,6.0,32.0,99.0,11.0,0.5714285714285714,20.057061456896278,14.182484166846693,0.9213624517411112,0.9274157659715186,0.02544401598677656,39.30197184751445,0.8806931530008429,0.8866666666666668,258.4054686799619,247.67550435501084,0.9182405269901077,191.48888888888888,1403.7354440717406,lev-tolstoi
detstvo. Text/chapter19.xhtml,83.0,1950.0,991.0,843.0,289.0,1575.0,585.0,1279.0,12500.0,10024.0,1980.0,4248.0,475.0,10.824817423540313,45.36729286376274,7.729670497374116,16.547525918930486,7.729670497374116,66.7247451343837,1719.0,181.0,191.0,496.0,891.0,251.0,261.0,47.0,6.0,4.0,14.0,92.0,126.0,13.0,0.5082051282051282,22.44173081674589,15.868700042084136,0.9106511050485566,0.9214076868093807,0.02715743312938611,36.822331301920244,0.8919305628616692,0.891794871794872,253.09995576033054,229.310312266042,0.9132064953194577,181.0475419207317,1387.414595685215,lev-tolstoi
detstvo. Text/chapter20.xhtml,50.0,1253.0,732.0,551.0,217.0,959.0,359.0,817.0,8145.0,6501.0,1289.0,2768.0,326.0,11.815816600159618,41.49020031923382,8.46838826017558,18.46848093627702,8.46838826017558,69.03446129289705,1105.0,118.0,203.0,236.0,586.0,168.0,148.0,57.0,11.0,8.0,5.0,66.0,65.0,17.0,0.5841979249800479,20.679286280851063,14.622463559287727,0.9246469732458216,0.9307151076544763,0.024323504480010156,41.11249679592151,0.8878903654485066,0.8912000000000002,320.66371646848023,267.25138863865493,0.9165004149549902,183.65207211425894,1491.9080157682351,lev-tolstoi
detstvo. Text/chapter21.xhtml,51.0,1184.0,667.0,471.0,147.0,926.0,348.0,725.0,7413.0,5604.0,1205.0,2394.0,340.0,9.545990328563857,55.134844329623746,5.1012567567567615,15.060063291005807,5.1012567567567615,62.99609167991521,1038.0,78.0,235.0,204.0,571.0,85.0,154.0,38.0,8.0,8.0,9.0,81.0,57.0,8.0,0.5633445945945946,19.384293760531865,13.706765566584165,0.9189074689119401,0.9246774099917172,0.02638569839731648,37.8993189773481,0.8782378854625564,0.8799999999999999,230.30692947875602,219.92511763011083,0.9146274379784108,187.1055303232701,1464.2325610657588,lev-tolstoi
detstvo. Text/chapter22.xhtml,35.0,672.0,421.0,281.0,89.0,521.0,183.0,427.0,4218.0,3242.0,674.0,1394.0,198.0,7.961154761904762,57.20327380952379,4.546373809523807,14.148403151725073,4.546373809523807,61.01547619047619,608.0,62.0,120.0,100.0,300.0,84.0,83.0,22.0,4.0,,2.0,37.0,23.0,4.0,0.6264880952380952,16.240427583510172,11.4837164736691,0.9281709753467032,0.9282825231143864,0.025404896819761602,39.362490117343604,0.8820545746388452,0.8769230769230768,287.6959028707066,274.7402917805878,0.9193570276795278,199.51858407079646,1293.8287651691965,lev-tolstoi
detstvo. Text/chapter23.xhtml,49.0,1012.0,576.0,408.0,135.0,829.0,313.0,651.0,6323.0,4990.0,1043.0,2121.0,285.0,8.829703557312254,54.025447285633604,5.620179720900218,14.724989135343476,5.620179720900218,60.96926675808663,880.0,106.0,157.0,169.0,495.0,96.0,147.0,32.0,9.0,4.0,8.0,82.0,33.0,17.0,0.5691699604743083,18.106404867703628,12.803161664862348,0.9185546332201364,0.9227928843545187,0.027101655438330704,36.898115034909246,0.865358255451715,0.8630000000000001,183.90360252636742,188.63351940770417,0.8996847450550555,150.06336168964506,1479.4734830787843,lev-tolstoi
detstvo. Text/chapter24.xhtml,33.0,468.0,259.0,184.0,47.0,401.0,168.0,280.0,2916.0,2210.0,505.0,931.0,195.0,4.881099456099459,68.84073038073039,2.4991111111111124,10.601176869588215,2.4991111111111124,53.4980574980575,385.0,26.0,48.0,88.0,226.0,23.0,59.0,32.0,1.0,,5.0,36.0,25.0,22.0,0.5534188034188035,11.972279235194527,8.465679833464943,0.903774370177539,0.8969878088251447,0.03603624352105299,27.749840224489073,0.8502147971360372,0.8444444444444446,129.80271396863782,127.62679930795848,0.8695950123857082,116.12964930924548,974.0755999242226,lev-tolstoi
detstvo. Text/chapter25.xhtml,91.0,1672.0,830.0,615.0,185.0,1416.0,550.0,1051.0,9992.0,7865.0,1675.0,3364.0,409.0,7.100397497239602,62.030386192754634,3.5605127241179915,12.655907388954637,3.5605127241179915,55.15592302434408,1347.0,132.0,289.0,220.0,850.0,143.0,118.0,88.0,34.0,1.0,7.0,163.0,105.0,57.0,0.4964114832535885,20.298313503847517,14.353075125221048,0.9056357787776719,0.9153116393328948,0.02927623457509805,34.15739812559726,0.8774614910659281,0.8751515151515152,213.38079114273438,212.2082213516325,0.9092907950238791,175.85045317220545,1337.6430533377438,lev-tolstoi
detstvo. Text/chapter26.xhtml,41.0,796.0,490.0,330.0,96.0,649.0,226.0,519.0,5014.0,3937.0,801.0,1675.0,218.0,8.284351636229932,55.129267067042534,5.367639048903051,13.578593026190592,5.367639048903051,60.87192057850227,701.0,62.0,185.0,132.0,389.0,81.0,116.0,19.0,9.0,2.0,6.0,37.0,55.0,3.0,0.6155778894472361,17.36758952270423,12.280740324368594,0.9273618399487281,0.9291928197940096,0.025039757605670048,39.93648883300524,0.9040160642570285,0.9013333333333334,244.7824990483441,273.42937884972173,0.9222921083288241,213.50202429149797,1597.1319136982675,lev-tolstoi
detstvo. Text/chapter27.xhtml,51.0,1317.0,732.0,571.0,227.0,1034.0,383.0,878.0,8481.0,6837.0,1319.0,2929.0,304.0,12.298685068560456,39.60237683683954,8.701313211845097,18.702488663267786,8.701313211845097,69.17964178837822,1161.0,153.0,260.0,253.0,703.0,136.0,195.0,36.0,6.0,12.0,13.0,79.0,77.0,,0.5558086560364465,20.17057104344542,14.262747565225272,0.9182344348564941,0.9250219494015104,0.02621039171282526,38.152806373766644,0.8761356466877012,0.8676923076923075,240.97777693011903,247.73591044760218,0.9034169573172501,151.2102599895306,1463.8056328666833,lev-tolstoi
detstvo. Text/chapter28.xhtml,121.0,2532.0,1212.0,1046.0,353.0,2074.0,746.0,1681.0,15742.0,12486.0,2590.0,5478.0,636.0,9.457155614742863,49.60491696369121,5.699446790176651,15.150927123855675,5.699446790176651,62.236836264410584,2171.0,218.0,657.0,319.0,1260.0,271.0,317.0,91.0,23.0,6.0,16.0,119.0,213.0,29.0,0.4786729857819905,24.086337595570075,17.031612647776083,0.9059895713332932,0.9193925574519521,0.02762198657489619,36.203044168764976,0.8609182440596138,0.8584000000000003,188.15800723020908,200.9445355117835,0.898188442074368,139.1275237723069,1422.4131055277674,lev-tolstoi
detstvo. Text/annotation.xhtml,5.0,136.0,113.0,71.0,29.0,85.0,24.0,90.0,968.0,756.0,126.0,313.0,46.0,13.538735294117647,33.15661764705885,11.38783529411765,21.34231786349246,11.38783529411765,79.40588235294118,124.0,14.0,26.0,33.0,73.0,20.0,3.0,8.0,1.0,,2.0,,12.0,,0.8308823529411765,9.689670060551748,6.851631407276407,0.962287791157153,0.9492707522916608,0.017675894587577443,56.57422287994388,0.8898850574712649,0.85,158.4726416286884,11.125,0.9121976780844098,155.59322033898306,2009.0824720486203,lev-tolstoi
voina-i-mir. Text/chapter3.xhtml,110.0,2412.0,1096.0,850.0,245.0,1266.0,488.0,1023.0,14410.0,8056.0,2315.0,3463.0,660.0,4.63525086687773,92.04169304990201,-3.9812076285240465,13.244582221502885,-3.9812076285240465,57.16773707221468,2161.0,126.0,279.0,334.0,800.0,210.0,130.0,97.0,21.0,9.0,15.0,74.0,127.0,50.0,0.45439469320066334,22.316285169085088,15.779996573952847,0.8987201253483716,0.9123703693553848,0.029943399439140407,33.39634172240489,0.8903004655099676,0.8925000000000004,248.78721461187214,280.0075658469734,0.9361769063875592,271.516107946587,957.9032363310213,lev-tolstoi
voina-i-mir. Text/chapter4.xhtml,43.0,1239.0,711.0,542.0,208.0,770.0,268.0,710.0,7998.0,5625.0,1210.0,2408.0,299.0,11.71640783077125,52.57234069110498,5.462410805788615,19.49492999024634,5.462410805788615,72.55890909773447,1141.0,71.0,248.0,247.0,541.0,126.0,122.0,37.0,2.0,19.0,4.0,8.0,75.0,15.0,0.5738498789346247,20.199189684799688,14.28298400059522,0.9220187051138836,0.928097487416514,0.025211605928827326,39.66427219364813,0.9112436974789963,0.9058333333333333,389.5467402523076,374.1169509367978,0.9405001961977254,281.03371198241115,1078.0263229575396,lev-tolstoi
voina-i-mir. Text/chapter5.xhtml,41.0,1359.0,774.0,618.0,213.0,861.0,297.0,777.0,8949.0,6180.0,1341.0,2620.0,381.0,13.7252908343653,47.878678099032655,6.724656948258222,20.20147395202208,6.724656948258222,78.62095514994886,1287.0,127.0,266.0,253.0,629.0,78.0,148.0,33.0,5.0,12.0,11.0,11.0,55.0,6.0,0.5695364238410596,20.99574223629591,14.846231711329649,0.9219721122552461,0.9288651841835847,0.02490342244527166,40.155123344898605,0.8873129770992401,0.8837037037037037,371.5514277707234,341.42714336932113,0.9312364353228353,224.62536514118793,1200.550425500471,lev-tolstoi
voina-i-mir. Text/chapter6.xhtml,22.0,497.0,313.0,189.0,54.0,363.0,124.0,293.0,3101.0,2220.0,502.0,922.0,155.0,8.022000182915676,65.97345802085238,3.2589230382293763,13.901425919377397,3.2589230382293763,60.61907810499359,434.0,31.0,73.0,147.0,257.0,42.0,49.0,23.0,4.0,6.0,,13.0,40.0,10.0,0.6297786720321932,14.03996881570883,9.927757157235376,0.9255246628279655,0.9219735942650295,0.02762073199345162,36.204688573680166,0.9012946428571406,0.8866666666666666,216.1104383119674,262.05218416286766,0.9198635276948364,215.1064572425829,1110.473091675701,lev-tolstoi
voina-i-mir. Text/chapter7.xhtml,128.0,2991.0,1293.0,1164.0,367.0,1724.0,621.0,1470.0,18333.0,11356.0,2932.0,4889.0,872.0,6.792285632940487,78.21997654421598,-0.7180147721811281,15.020523642311247,-0.7180147721811281,62.28393775075226,2712.0,185.0,392.0,555.0,1154.0,239.0,263.0,92.0,30.0,15.0,12.0,68.0,168.0,43.0,0.43229689067201604,23.64233236461489,16.717653538085372,0.8952137153201128,0.9111493098523613,0.03014724376322893,33.17052821988708,0.886254248810363,0.8881355932203391,312.7544968754778,270.3473912597558,0.9430076717233545,307.3015600302385,950.1544655495759,lev-tolstoi
voina-i-mir. Text/chapter8.xhtml,56.0,1265.0,671.0,500.0,131.0,903.0,343.0,691.0,7818.0,5372.0,1253.0,2263.0,397.0,7.537959486166006,69.95406691134953,1.8802630223037866,13.57230036431883,1.8802630223037866,62.11497741389046,1133.0,60.0,161.0,307.0,565.0,94.0,138.0,51.0,13.0,4.0,4.0,32.0,69.0,31.0,0.5304347826086957,18.86588824122614,13.340197508478553,0.9112314733956999,0.9178868675426718,0.0286157112032227,34.94583772174008,0.878569078947373,0.8776,220.41124826502286,234.84691612084734,0.9322354696851745,250.07194244604315,1025.3708091716467,lev-tolstoi
voina-i-mir. Text/chapter9.xhtml,52.0,975.0,507.0,341.0,114.0,672.0,289.0,497.0,5772.0,4013.0,950.0,1697.0,316.0,5.303243589743591,77.8551794871795,-0.015107051282051032,13.14060438165187,-0.015107051282051032,53.72435897435897,841.0,74.0,128.0,178.0,430.0,73.0,93.0,59.0,5.0,4.0,3.0,42.0,53.0,39.0,0.52,16.236994795835837,11.481289126226201,0.9049862101672164,0.9088210004192653,0.0317877695249322,31.458640066446527,0.8589632829373653,0.865263157894737,152.68719806763283,153.25441691045717,0.9152884134675553,202.31146144013636,1082.446671542256,lev-tolstoi
