,n_sents,n_words,n_unique_words,n_long_words,n_complex_words,n_simple_words,n_monosyllable_words,n_polysyllable_words,n_chars,n_letters,n_spaces,n_syllables,n_punctuations,flesch_kincaid_grade,flesch_reading_easy,coleman_liau_index,smog_index,automated_readability_index,lix,,neut,femn,masc,sing,plur,past,pres,futr,actv,pssv,1per,3per,2per,ttr,rttr,cttr,httr,sttr,mttr,dttr,mattr,msttr,mtld,mamtld,hdd,simpson_index,hapax_index,author
kreicerova-sonata. Text/chapter11.xhtml,79.0,1171.0,523.0,410.0,170.0,918.0,423.0,665.0,7043.0,5533.0,1127.0,2346.0,292.0,5.298100509139648,67.16008512685252,2.6964247856965287,13.019399232643593,2.6964247856965287,49.83559437460139,1037.0,112.0,140.0,158.0,434.0,126.0,94.0,58.0,23.0,4.0,8.0,34.0,82.0,18.0,0.4466268146883006,15.283514781684913,10.807076942494238,0.8859218785327968,0.8919677954580026,0.03717647264432194,26.898732689550435,0.7839037433155092,0.7834782608695654,76.88879759552995,78.00612181513044,0.8788428914497061,123.98823529411764,1069.9035040818974,lev-tolstoi
kreicerova-sonata. Text/chapter12.xhtml,54.0,930.0,445.0,328.0,134.0,762.0,321.0,575.0,5635.0,4490.0,921.0,1940.0,206.0,7.076845878136201,59.07621863799284,4.0138440860215,13.977220881478168,4.0138440860215,52.491039426523294,816.0,115.0,155.0,111.0,428.0,77.0,112.0,26.0,3.0,4.0,,65.0,48.0,1.0,0.478494623655914,14.592124846192952,10.318190430663744,0.8921594150544311,0.8951239944324227,0.03632851756756843,27.52658426372813,0.8120317820658314,0.8066666666666668,96.58217136186211,88.85929561577686,0.8706780650483443,114.76753453772582,1048.392787386112,lev-tolstoi
kreicerova-sonata. Text/chapter13.xhtml,76.0,932.0,476.0,359.0,134.0,751.0,327.0,558.0,5630.0,4439.0,913.0,1927.0,235.0,4.512402304043373,66.63034108877346,2.215416647842787,11.789633725121071,2.215416647842787,50.78247119945787,834.0,103.0,126.0,108.0,329.0,139.0,53.0,62.0,5.0,4.0,3.0,18.0,73.0,7.0,0.5107296137339056,15.591898413513958,11.025137099767491,0.9017284987194135,0.9049567216166408,0.03309455602758003,30.216450076158427,0.8276104190260456,0.8266666666666667,127.21224817130062,122.5588364306943,0.8864201823475529,129.00564971751413,1104.2515424066366,lev-tolstoi
kreicerova-sonata. Text/chapter14.xhtml,48.0,892.0,443.0,354.0,125.0,719.0,282.0,562.0,5454.0,4341.0,883.0,1863.0,190.0,7.762357997010465,57.153908819133036,4.637490470852022,14.3173505482506,4.637490470852022,58.26943198804186,763.0,99.0,158.0,97.0,350.0,139.0,38.0,60.0,17.0,2.0,7.0,17.0,109.0,3.0,0.4966367713004484,14.832737093540715,10.488328982399882,0.8969750715060871,0.8995061375236029,0.03491938576379843,28.637388033231623,0.8034638196915753,0.8047058823529412,94.32584959552389,86.65996847112486,0.8735103373891477,115.68733624454148,1107.636974990358,lev-tolstoi
kreicerova-sonata. Text/chapter15.xhtml,55.0,699.0,357.0,227.0,78.0,580.0,266.0,392.0,3941.0,3067.0,685.0,1339.0,158.0,3.621288594095457,75.18600013005592,-0.008118597997139432,10.578703623903563,-0.008118597997139432,45.184055143711795,576.0,55.0,80.0,72.0,224.0,134.0,46.0,39.0,9.0,,1.0,47.0,63.0,13.0,0.5107296137339056,13.502980119329372,9.548048808604936,0.8974120931179592,0.8964585277784182,0.03606564600229119,27.727217195457186,0.8047384615384608,0.7984615384615383,103.65814436672683,91.86659859757654,0.8698322023411964,115.01697312588402,1025.7357088295034,lev-tolstoi
kreicerova-sonata. Text/chapter16.xhtml,74.0,1276.0,566.0,468.0,129.0,1102.0,432.0,799.0,7588.0,5997.0,1267.0,2588.0,292.0,6.665145302041854,62.523172498517326,3.217748538507159,11.72314659170146,3.217748538507159,53.92035923070406,1107.0,124.0,206.0,158.0,465.0,216.0,92.0,79.0,15.0,6.0,8.0,18.0,143.0,8.0,0.44357366771159873,15.844958060050677,11.204077291878276,0.8863325123424483,0.8935282644282501,0.0365978598375642,27.32400212576353,0.8087204563977194,0.8056,91.90775820963596,98.02922007821111,0.8767819891573014,115.79359430604983,1058.9828203024044,lev-tolstoi
kreicerova-sonata. Text/chapter17.xhtml,51.0,700.0,382.0,237.0,101.0,561.0,261.0,401.0,4105.0,3218.0,686.0,1397.0,163.0,4.704204481792718,69.04943417366948,1.5881142857142834,12.49183802069989,1.5881142857142834,47.582633053221286,610.0,64.0,103.0,112.0,296.0,105.0,85.0,21.0,1.0,4.0,5.0,52.0,33.0,5.0,0.5457142857142857,14.43824286895248,10.209379441054612,0.9075481148968666,0.9072217631238991,0.03249514913119482,30.773823993317702,0.8201228878648206,0.8228571428571428,111.46872878743261,116.37731435167372,0.8821973384680615,127.9550209205021,1168.6316680488667,lev-tolstoi
kreicerova-sonata. Text/chapter18.xhtml,38.0,497.0,307.0,194.0,87.0,382.0,141.0,328.0,3143.0,2514.0,493.0,1098.0,117.0,5.946249602880439,57.056110875781,4.293916366620778,13.427555830569352,4.293916366620778,52.11315259980938,447.0,64.0,87.0,70.0,215.0,70.0,45.0,26.0,,4.0,6.0,21.0,29.0,,0.6177062374245473,13.770832033299078,9.73744871332671,0.9224071364859783,0.9185719718247617,0.028776931654228576,34.75005646938237,0.8448214285714296,0.8377777777777777,174.66475322745953,146.75310208357584,0.8974787021860072,135.7444933920705,1254.2142596077774,lev-tolstoi
kreicerova-sonata. Text/chapter19.xhtml,56.0,962.0,507.0,348.0,131.0,772.0,326.0,577.0,5795.0,4577.0,948.0,1975.0,231.0,6.814506237006238,61.11668250668252,3.5623938595188633,13.57230036431883,3.5623938595188633,53.35320760320761,854.0,100.0,149.0,174.0,427.0,87.0,120.0,32.0,4.0,4.0,8.0,32.0,67.0,9.0,0.527027027027027,16.346336063555732,11.558605078094473,0.9067546805040643,0.910444285173888,0.031257072496331806,31.992759402447422,0.8234173055859831,0.8305263157894739,126.71596944711418,116.66867039242166,0.8853363409040567,133.47993069592837,1303.8532426923894,lev-tolstoi
kreicerova-sonata. Text/chapter20.xhtml,99.0,1055.0,504.0,348.0,108.0,880.0,394.0,594.0,5987.0,4587.0,1039.0,2012.0,316.0,2.5536129063143314,78.36421346163053,-0.833184044233807,9.2842839462516,-0.833184044233807,43.64234764708698,783.0,76.0,152.0,94.0,501.0,58.0,37.0,140.0,22.0,,4.0,129.0,129.0,14.0,0.4777251184834123,15.516876609538398,10.972088673439524,0.8938818615144513,0.8986004795510523,0.03510065398190586,28.489497674758226,0.8019880715705795,0.8019047619047621,93.39561421058445,89.19823693506967,0.8584768828515954,100.19553072625699,1218.9753917243122,lev-tolstoi
