,n_sents,n_words,n_unique_words,n_long_words,n_complex_words,n_simple_words,n_monosyllable_words,n_polysyllable_words,n_chars,n_letters,n_spaces,n_syllables,n_punctuations,flesch_kincaid_grade,flesch_reading_easy,coleman_liau_index,smog_index,automated_readability_index,lix,,masc,femn,neut,plur,sing,pres,actv,3per,ttr,rttr,cttr,httr,sttr,mttr,dttr,mattr,msttr,mtld,mamtld,hdd,simpson_index,hapax_index,author,1per,2per,futr,past,pssv
nesvoevremennye-mysli-zametki-o-revolyucii-i-kulture. Text/chapter48.xhtml,14.0,556.0,390.0,287.0,132.0,394.0,140.0,386.0,3913.0,3212.0,557.0,1360.0,138.0,20.726115107913675,8.199234326824268,16.263742034943476,27.19762815211882,16.263742034943476,91.33299075025694,521.0,133.0,129.0,39.0,103.0,268.0,20.0,4.0,28.0,0.7014388489208633,16.539684128759433,11.69532280612931,0.9438958147778559,0.9428213420070467,0.020438126274078604,48.928164284232174,0.8950690335305683,0.8963636363636364,361.0982724572779,342.5340287277702,0.9220998689403871,173.35955056179776,1726.7405947048426,maksim-gorkii,7.0,,4.0,37.0,9.0
nesvoevremennye-mysli-zametki-o-revolyucii-i-kulture. Text/chapter49.xhtml,4.0,303.0,230.0,161.0,82.0,208.0,63.0,227.0,2163.0,1782.0,296.0,764.0,81.0,38.93410066006601,-43.17927392739274,27.024112623762377,40.08002623031866,27.024112623762377,128.88531353135312,261.0,54.0,60.0,32.0,71.0,134.0,30.0,2.0,42.0,0.759075907590759,13.213154761292799,9.343111332577458,0.951755970051596,0.9455937174846224,0.01944192841465054,51.435226931832865,0.8885826771653553,0.8866666666666667,352.1441095890411,10.0,0.9285441113448453,225.38423645320196,1542.5183906906223,maksim-gorkii,,,4.0,6.0,2.0
nesvoevremennye-mysli-zametki-o-revolyucii-i-kulture. Text/chapter50.xhtml,5.0,289.0,220.0,153.0,60.0,219.0,66.0,213.0,2032.0,1677.0,286.0,702.0,68.0,29.46417993079584,-14.291851211072697,21.498228719723194,30.676655057318946,21.498228719723194,110.74117647058823,253.0,74.0,44.0,28.0,58.0,134.0,17.0,2.0,32.0,0.7612456747404844,12.941176470588236,9.150793638884734,0.951856936165366,0.945209223975347,0.019563211035492266,51.11635294358195,0.8704166666666678,0.8720000000000001,338.9257971014493,10.5,0.9094078442078195,155.28358208955223,2165.5901016257617,maksim-gorkii,4.0,,9.0,8.0,4.0
nesvoevremennye-mysli-zametki-o-revolyucii-i-kulture. Text/chapter51.xhtml,9.0,474.0,342.0,224.0,98.0,352.0,127.0,323.0,3227.0,2636.0,473.0,1098.0,116.0,26.126793248945145,-0.8506540084388234,18.545995780590722,29.224318996146064,18.545995780590722,99.92405063291139,427.0,65.0,63.0,65.0,112.0,177.0,26.0,3.0,26.0,0.7215189873417721,15.708580256372187,11.107643622093889,0.947023924437155,0.9446975272829525,0.019798379685553775,50.50918387678296,0.9208941176470578,0.9155555555555556,406.59707509881423,450.1655518394649,0.9365945633242523,256.52402745995425,1500.1904800861269,maksim-gorkii,21.0,,9.0,24.0,5.0
nesvoevremennye-mysli-zametki-o-revolyucii-i-kulture. Text/chapter52.xhtml,15.0,720.0,498.0,374.0,163.0,529.0,180.0,512.0,5107.0,4199.0,716.0,1776.0,187.0,24.936666666666664,-3.8116666666666674,18.93197222222222,29.194534078737075,18.93197222222222,99.94444444444444,645.0,128.0,141.0,83.0,134.0,327.0,55.0,4.0,51.0,0.6916666666666667,18.559364213248255,13.123452289698774,0.9439676152945045,0.9450766253042101,0.019610033055473427,50.99430465880252,0.9133233979135618,0.9185714285714285,415.91979695526175,363.535565020897,0.9402498607377966,262.24924012158056,1616.9904354804225,maksim-gorkii,14.0,10.0,6.0,29.0,8.0
nesvoevremennye-mysli-zametki-o-revolyucii-i-kulture. Text/chapter53.xhtml,31.0,1381.0,803.0,673.0,291.0,1038.0,381.0,948.0,9468.0,7664.0,1404.0,3291.0,390.0,22.635016701315084,5.7004457966410484,16.1963294597183,27.137853485494432,16.1963294597183,93.28118941393566,1175.0,208.0,263.0,145.0,329.0,593.0,98.0,12.0,94.0,0.5814627081824765,21.60820572538425,15.279308797693183,0.9250115892830735,0.931879690743298,0.02388018650839048,41.87571984199715,0.8895345345345428,0.8903703703703704,365.65877285704516,351.7526468401487,0.9310175321380381,226.3396674584323,1385.4810570871653,maksim-gorkii,49.0,63.0,23.0,58.0,17.0
nesvoevremennye-mysli-zametki-o-revolyucii-i-kulture. Text/chapter54.xhtml,7.0,440.0,315.0,246.0,107.0,307.0,100.0,314.0,3242.0,2675.0,434.0,1125.0,127.0,32.87477272727273,-28.54405844155842,24.649383116883122,34.616213892428874,24.649383116883122,118.76623376623377,395.0,99.0,66.0,59.0,56.0,230.0,27.0,1.0,28.0,0.7159090909090909,15.017035780618079,10.618647833796063,0.9450937313961991,0.9419072223424828,0.02077066447687844,48.14482469317163,0.9035294117647057,0.9000000000000001,411.5025906735751,390.70136054421766,0.9279699395363193,222.02298850574712,1460.8554264792087,maksim-gorkii,17.0,,8.0,14.0,7.0
nesvoevremennye-mysli-zametki-o-revolyucii-i-kulture. Text/chapter55.xhtml,17.0,677.0,471.0,359.0,167.0,482.0,158.0,491.0,4825.0,3997.0,673.0,1725.0,151.0,21.523972543227043,1.9292566686940518,17.08946602658788,27.76039516138303,17.08946602658788,92.85159440437917,625.0,140.0,132.0,76.0,120.0,321.0,38.0,3.0,41.0,0.6957163958641064,18.10200050966727,12.800047313428067,0.9443339248477098,0.9449531151894116,0.019665900513248343,50.84943856633105,0.9166242038216559,0.9215384615384615,419.8553329043723,443.88732959101844,0.9333541337661482,226.56039603960397,1645.9348925317324,maksim-gorkii,10.0,1.0,5.0,27.0,9.0
nesvoevremennye-mysli-zametki-o-revolyucii-i-kulture. Text/chapter56.xhtml,14.0,976.0,584.0,481.0,227.0,707.0,276.0,658.0,6674.0,5462.0,972.0,2357.0,235.0,35.19920081967213,-28.932608313817312,23.547766978922716,35.650644055169245,23.547766978922716,118.9970725995316,846.0,170.0,173.0,117.0,155.0,476.0,72.0,5.0,67.0,0.5983606557377049,18.693384470202812,13.218218922207704,0.9253919670314534,0.9291949262743767,0.024957111682436337,40.06873923250317,0.8770442286947135,0.8705263157894738,297.5745164960182,293.3708748954791,0.9184692746491305,179.7506611258028,1312.660671817555,maksim-gorkii,47.0,16.0,8.0,22.0,11.0
nesvoevremennye-mysli-zametki-o-revolyucii-i-kulture. Text/chapter57.xhtml,10.0,480.0,331.0,242.0,131.0,322.0,111.0,342.0,3416.0,2783.0,481.0,1222.0,132.0,25.514583333333338,-8.569583333333327,18.718958333333326,32.049603122538876,18.718958333333326,98.41666666666666,429.0,94.0,105.0,43.0,70.0,240.0,23.0,2.0,44.0,0.6895833333333333,15.108013877850832,10.68297906328879,0.9397990597228542,0.9370470828035362,0.022452638516059383,44.53819533435877,0.9029234338747077,0.8977777777777778,277.85774588433947,343.2096054957416,0.9208400475091891,204.1918294849023,1504.22177893444,maksim-gorkii,7.0,,14.0,30.0,8.0
nesvoevremennye-mysli-zametki-o-revolyucii-i-kulture. Text/chapter58.xhtml,6.0,458.0,317.0,243.0,127.0,310.0,90.0,347.0,3311.0,2751.0,450.0,1182.0,105.0,39.65307132459971,-47.5035735080058,27.97250436681223,40.725713474586605,27.97250436681223,129.3901018922853,400.0,70.0,97.0,49.0,101.0,205.0,41.0,2.0,53.0,0.6921397379912664,14.812437238457129,10.473974817213172,0.9399420161946702,0.9367117973326398,0.022570845577050427,44.30494181470895,0.8938875305623429,0.88,289.9334198266203,369.58741418764305,0.9185183053021555,182.9597902097902,1479.8146605740817,maksim-gorkii,5.0,,,15.0,8.0
nesvoevremennye-mysli-zametki-o-revolyucii-i-kulture. Text/chapter59.xhtml,20.0,622.0,404.0,308.0,124.0,471.0,159.0,436.0,4264.0,3464.0,612.0,1466.0,181.0,15.854466237942123,24.754517684887446,12.546315273311897,22.064295355518425,12.546315273311897,80.6176848874598,548.0,147.0,114.0,37.0,96.0,293.0,43.0,4.0,50.0,0.6495176848874598,16.198924183245435,11.454369137899603,0.9329194414129414,0.9324153424200065,0.024010591114723978,41.64828742540918,0.8825828970331557,0.8866666666666668,312.27404053471327,215.81116654579074,0.9294323585653927,222.50115207373273,1282.6037675171488,maksim-gorkii,23.0,1.0,6.0,31.0,4.0
nesvoevremennye-mysli-zametki-o-revolyucii-i-kulture. Text/chapter60.xhtml,6.0,457.0,318.0,234.0,102.0,336.0,119.0,319.0,3198.0,2621.0,463.0,1101.0,112.0,38.318756382202764,-36.97400802334063,26.22728829321663,36.50301084958553,26.22728829321663,127.37016776075858,398.0,97.0,58.0,36.0,74.0,191.0,31.0,,37.0,0.6958424507658644,14.875412577254618,10.518505106324398,0.9407917136332031,0.9376123424311835,0.022259455529178712,44.924728670436444,0.8759803921568601,0.8888888888888888,267.9503286147624,277.6179155490179,0.9163721057607653,178.41780821917808,1537.9151847676594,maksim-gorkii,22.0,,6.0,9.0,4.0
nesvoevremennye-mysli-zametki-o-revolyucii-i-kulture. Text/chapter61.xhtml,21.0,673.0,463.0,318.0,119.0,515.0,190.0,444.0,4470.0,3582.0,671.0,1526.0,201.0,15.665785042100044,28.89880103304324,11.267811823392066,21.096155626780554,11.267811823392066,79.29873346069483,588.0,159.0,106.0,47.0,118.0,304.0,42.0,1.0,57.0,0.687964338781575,17.847338424982848,12.619974026436608,0.9425625148674388,0.9430988347836569,0.02031017651185048,49.236401240359726,0.8838141025640996,0.8938461538461537,355.88031532295605,296.0392128835525,0.923829196105314,204.08664259927798,1818.5707982440294,maksim-gorkii,22.0,6.0,6.0,38.0,3.0
nesvoevremennye-mysli-zametki-o-revolyucii-i-kulture. Text/chapter62.xhtml,21.0,658.0,444.0,305.0,126.0,503.0,198.0,431.0,4396.0,3537.0,657.0,1521.0,189.0,15.637649442755826,27.177502532928088,11.398878419452892,21.706315476091497,11.398878419452892,77.68591691995947,568.0,103.0,100.0,55.0,155.0,236.0,45.0,4.0,59.0,0.6747720364741642,17.308922097997,12.239256190523362,0.9393792655562272,0.9396433542457581,0.02151024677657609,46.489471291838704,0.8967487684729067,0.9061538461538461,348.1656440228319,399.53728011028204,0.9302378457668254,233.42656587473002,1668.3897290194611,maksim-gorkii,27.0,4.0,8.0,35.0,8.0
nesvoevremennye-mysli-zametki-o-revolyucii-i-kulture. Text/chapter63.xhtml,11.0,551.0,371.0,269.0,112.0,412.0,134.0,390.0,3848.0,3140.0,541.0,1329.0,159.0,25.561986470879393,-3.2430729252598667,18.684547186932846,28.26120344827565,18.684547186932846,98.91123576967497,494.0,104.0,69.0,50.0,114.0,210.0,38.0,2.0,29.0,0.6733212341197822,15.805131377449515,11.17591557453883,0.9373337507824474,0.9358218233383967,0.022861285469874166,43.74207221714485,0.8984462151394417,0.8945454545454545,297.77221502340615,350.9792456888124,0.926040775860972,219.6014492753623,1393.1058125671402,maksim-gorkii,27.0,1.0,5.0,23.0,7.0
nesvoevremennye-mysli-zametki-o-revolyucii-i-kulture. Text/chapter64.xhtml,34.0,1109.0,666.0,547.0,262.0,813.0,320.0,755.0,7880.0,6366.0,1123.0,2728.0,373.0,17.34972550787673,16.59364583885852,14.043569206492336,24.592575251998312,14.043569206492336,81.94136211743489,1012.0,224.0,184.0,74.0,309.0,380.0,64.0,6.0,71.0,0.6005410279531109,19.9990080908222,14.141434238025008,0.92727018206405,0.9321852170846088,0.023885534644589753,41.86634357906271,0.8753396226415106,0.8754545454545455,297.74597156679886,323.96537655679373,0.924398754958469,194.11879936808847,1438.2442622236463,maksim-gorkii,20.0,6.0,8.0,41.0,19.0
nesvoevremennye-mysli-zametki-o-revolyucii-i-kulture. Text/annotation.xhtml,2.0,87.0,63.0,66.0,38.0,45.0,10.0,73.0,803.0,699.0,87.0,291.0,16.0,29.142241379310338,-50.73913793103452,31.45761206896551,38.58769583148427,31.45761206896551,119.36206896551724,86.0,14.0,38.0,10.0,15.0,56.0,,1.0,1.0,0.7241379310344828,6.754308969478107,4.7760176745470915,0.9277250262013248,0.886752184572482,0.037264375541049166,26.835281296970454,0.7215789473684208,0.74,60.979985153037916,26.359840425531914,0.819078555567887,76.34693877551021,1018.2476076247748,maksim-gorkii,,,,6.0,4.0
vechera-na-khutore-bliz-dikanki. Text/chapter2.xhtml,161.0,1695.0,1050.0,737.0,188.0,1429.0,510.0,1107.0,10874.0,8539.0,1698.0,3555.0,559.0,3.8793151212004595,67.0982221183972,3.4494558438227116,9.603773278183427,3.4494558438227116,54.00877626926107,1520.0,446.0,253.0,95.0,252.0,795.0,57.0,5.0,99.0,0.6194690265486725,25.503773796756164,18.033891397534063,0.9355932259287496,0.9432067375913543,0.01994530483195331,50.13711289074677,0.9085662211421796,0.9006060606060607,396.4381231325091,386.8274610099794,0.9342486140960207,241.4505549949546,1738.783685982593,nikolai-gogol,34.0,42.0,64.0,114.0,11.0
vechera-na-khutore-bliz-dikanki. Text/chapter4.xhtml,43.0,1190.0,818.0,575.0,226.0,896.0,289.0,833.0,8005.0,6558.0,1186.0,2785.0,254.0,14.054918897791676,30.204054133281232,11.221060973226507,20.318841937525,11.221060973226507,75.9937463357436,1120.0,249.0,253.0,104.0,231.0,534.0,42.0,19.0,63.0,0.6873949579831933,23.712635358185143,16.76736526157661,0.9470683882363811,0.9515934069321588,0.017210470992012707,58.104162312820776,0.9068886941279609,0.9060869565217391,648.686693708705,718.1134622442426,0.9283750853287409,196.78859527121003,2132.0317071348213,nikolai-gogol,6.0,1.0,2.0,130.0,21.0
vechera-na-khutore-bliz-dikanki. Text/chapter5.xhtml,18.0,419.0,311.0,173.0,57.0,341.0,112.0,286.0,2665.0,2134.0,419.0,916.0,107.0,10.77506099177937,45.18582206311322,7.372089697692921,15.782948441619796,7.372089697692921,64.56656059400689,367.0,73.0,83.0,37.0,60.0,195.0,25.0,5.0,42.0,0.7422434367541766,15.19334422800158,10.743316732521409,0.9506319343861118,0.9474820298895835,0.0188268635517562,53.11559183774497,0.8972972972972942,0.905,455.15814814814814,78.57142857142857,0.9302169973806317,215.692118226601,1812.2412469833728,nikolai-gogol,3.0,7.0,6.0,39.0,5.0
vechera-na-khutore-bliz-dikanki. Text/chapter6.xhtml,16.0,669.0,430.0,277.0,88.0,548.0,220.0,416.0,4194.0,3303.0,675.0,1380.0,212.0,18.95642096412556,28.505655829596407,11.595401765695065,20.784343490933107,11.595401765695065,83.2175822122571,606.0,152.0,91.0,46.0,66.0,316.0,32.0,3.0,26.0,0.6427503736920778,16.62476047008177,11.755480863996874,0.9320606329144118,0.932261313218024,0.024045706471794954,41.587465985787375,0.8877096774193505,0.8907692307692308,275.7703359461741,253.80686787901868,0.9130420557576472,167.5007496251874,1463.7749766748962,nikolai-gogol,14.0,23.0,9.0,58.0,4.0
vechera-na-khutore-bliz-dikanki. Text/chapter7.xhtml,18.0,341.0,217.0,99.0,27.0,300.0,140.0,187.0,1921.0,1484.0,338.0,627.0,96.0,6.115358422939064,71.70077060931901,1.5168492179863122,10.878157738045749,1.5168492179863122,47.97670250896057,295.0,79.0,35.0,10.0,28.0,145.0,12.0,1.0,17.0,0.6363636363636364,11.751208835303247,8.309359454582196,0.9224975596638582,0.9131928266101625,0.030600061726858595,32.67967264008065,0.8490410958904114,0.8500000000000001,137.50723712217965,89.29166791458265,0.9001920164271197,170.5,1121.6483678395346,nikolai-gogol,15.0,14.0,3.0,27.0,3.0
vechera-na-khutore-bliz-dikanki. Text/chapter8.xhtml,19.0,423.0,302.0,184.0,62.0,345.0,129.0,278.0,2687.0,2138.0,425.0,913.0,121.0,10.075212143834765,48.17350939405253,6.845194040064698,16.02084844333575,6.845194040064698,65.76197586163991,396.0,99.0,44.0,42.0,72.0,172.0,8.0,9.0,11.0,0.7139479905437353,14.683742477454718,10.382973879005188,0.9442823838693276,0.9406270362488983,0.02121492584236547,47.13662481925978,0.8828877005347585,0.89,245.29994812998092,231.72905219780222,0.9191819647290318,180.6740890688259,1802.624524880143,nikolai-gogol,10.0,6.0,6.0,43.0,4.0
vechera-na-khutore-bliz-dikanki. Text/chapter9.xhtml,12.0,468.0,329.0,224.0,103.0,342.0,124.0,321.0,3180.0,2559.0,475.0,1117.0,141.0,19.94329059829059,12.691196581196607,14.128858974358977,25.952216764851098,14.128858974358977,86.86324786324786,432.0,91.0,96.0,35.0,49.0,226.0,30.0,3.0,12.0,0.7029914529914529,15.208030379841697,10.75370141007709,0.942683197149075,0.9399035075560594,0.021464990867765606,46.58748779165425,0.9252983293556053,0.9088888888888889,304.4189640647242,327.6902647975078,0.930866311233313,240.70044052863437,1568.7694386810476,nikolai-gogol,10.0,14.0,3.0,46.0,3.0
vechera-na-khutore-bliz-dikanki. Text/chapter10.xhtml,62.0,1233.0,714.0,468.0,134.0,1032.0,391.0,775.0,7578.0,5961.0,1236.0,2480.0,370.0,7.837564686183711,60.0993735447244,4.8026128836041195,13.047669766340379,4.8026128836041195,57.84330115375559,1140.0,283.0,197.0,86.0,148.0,569.0,49.0,11.0,54.0,0.5790754257907542,20.33371225365891,14.378105821258211,0.9232391785537369,0.9292262565419134,0.02483394966037722,40.267456996399915,0.9009459459459503,0.9033333333333333,310.40244397531666,287.6969785932722,0.925532554036416,208.14688955878322,1362.3133559810817,nikolai-gogol,22.0,17.0,8.0,163.0,2.0
vechera-na-khutore-bliz-dikanki. Text/chapter11.xhtml,14.0,223.0,166.0,99.0,27.0,182.0,72.0,137.0,1409.0,1119.0,223.0,458.0,61.0,6.207825112107624,62.69377642536837,4.840251281229982,12.327976799363741,4.840251281229982,60.32319026265215,208.0,75.0,37.0,12.0,25.0,114.0,4.0,1.0,15.0,0.7443946188340808,11.116182201028256,7.8603278152522815,0.9454088023129574,0.9342412298219787,0.02324706580736788,43.01618140914204,0.8613793103448277,0.8500000000000001,186.6525508714691,52.990196078431374,0.8959488839390427,143.9127906976744,1856.279082219022,nikolai-gogol,,,,36.0,3.0
vechera-na-khutore-bliz-dikanki. Text/chapter12.xhtml,1.0,231.0,180.0,97.0,30.0,194.0,59.0,165.0,1545.0,1219.0,233.0,515.0,91.0,112.87489177489178,-227.45417748917748,66.78987229437229,48.4749935467213,66.78987229437229,272.991341991342,214.0,70.0,40.0,8.0,33.0,114.0,15.0,7.0,12.0,0.7792207792207793,11.843130509275841,8.374357893586238,0.9541635955010762,0.9454538105313482,0.019392525037470562,51.56626061164202,0.9230769230769209,0.9349999999999999,292.96235294117656,1.0,0.9385857271075515,291.9230769230769,1418.167187935287,nikolai-gogol,3.0,2.0,1.0,27.0,1.0
vechera-na-khutore-bliz-dikanki. Text/chapter13.xhtml,16.0,540.0,388.0,226.0,59.0,457.0,150.0,366.0,3408.0,2696.0,543.0,1150.0,165.0,15.4937962962963,34.96925925925926,9.680504629629631,17.02754767332432,9.680504629629631,75.60185185185185,494.0,135.0,104.0,29.0,69.0,265.0,26.0,5.0,25.0,0.7185185185185186,16.696861536983086,11.806464017333582,0.9474592438543474,0.9463066699376682,0.01922883770202164,52.00522337836697,0.9148268839103859,0.9099999999999999,384.3949091208535,384.62924528301886,0.9357563845566386,243.36120401337791,1709.9496432440515,nikolai-gogol,12.0,9.0,2.0,67.0,3.0
vechera-na-khutore-bliz-dikanki. Text/chapter14.xhtml,7.0,204.0,156.0,83.0,21.0,174.0,57.0,138.0,1284.0,1002.0,207.0,426.0,72.0,12.934117647058823,43.446344537815136,7.882218487394958,15.363327528659473,7.882218487394958,69.82913165266106,180.0,69.0,18.0,13.0,28.0,105.0,5.0,,13.0,0.7647058823529411,10.922184655418476,7.7231508352180605,0.9495566126929821,0.9381664015781317,0.021840460874841032,45.78657958413062,0.9163870967741927,0.9199999999999999,242.75999999999996,1.0,0.9351635707863758,291.63380281690144,1162.2655036078718,nikolai-gogol,1.0,10.0,2.0,22.0,3.0
vechera-na-khutore-bliz-dikanki. Text/chapter15.xhtml,18.0,339.0,222.0,119.0,25.0,300.0,120.0,205.0,2041.0,1546.0,350.0,645.0,141.0,6.527713864306783,68.0021091445428,2.791304572271386,10.469399641480736,2.791304572271386,53.93657817109144,297.0,80.0,32.0,19.0,35.0,158.0,10.0,3.0,8.0,0.6548672566371682,12.05738491437722,8.525858636332512,0.9273390460511837,0.9187372848114721,0.028717477913075138,34.82199944670968,0.8902068965517245,0.8766666666666666,193.29925358194868,198.8922080872331,0.9170909321269427,214.57303370786516,1080.2006403867001,nikolai-gogol,17.0,17.0,4.0,38.0,1.0
vechera-na-khutore-bliz-dikanki. Text/chapter16.xhtml,33.0,750.0,504.0,326.0,111.0,604.0,200.0,515.0,4839.0,3851.0,754.0,1667.0,227.0,10.771830303030303,43.707278787878806,7.47801333333333,16.264869718872244,7.47801333333333,66.19393939393939,658.0,117.0,154.0,68.0,83.0,360.0,45.0,5.0,63.0,0.672,18.40347793217358,13.01322404325692,0.939955809239862,0.9413654561467704,0.02088449088883208,47.88242171298258,0.8979457917261061,0.9013333333333332,367.2181769544901,395.0782828282828,0.9280985481028345,216.55744024672322,1628.124580617322,nikolai-gogol,27.0,2.0,19.0,80.0,9.0
vechera-na-khutore-bliz-dikanki. Text/chapter17.xhtml,282.0,5044.0,2391.0,1961.0,553.0,4218.0,1473.0,3298.0,31157.0,24697.0,5052.0,10383.0,1370.0,7.201340065578933,59.86754945135293,4.62808615249633,12.430750043159973,4.62808615249633,56.76439952531201,4562.0,1146.0,771.0,403.0,639.0,2331.0,194.0,29.0,374.0,0.4740285487708168,33.66604016083601,23.80548529342579,0.9124452620089896,0.9300065671994867,0.0236457079214873,42.29097319988804,0.8987507507507925,0.8980000000000002,350.8852169037971,342.1622111376041,0.9237899553668995,200.74572258349644,1592.326476845575,nikolai-gogol,58.0,50.0,87.0,544.0,29.0
vechera-na-khutore-bliz-dikanki. Text/chapter18.xhtml,1.0,4.0,4.0,2.0,1.0,3.0,1.0,3.0,29.0,25.0,3.0,11.0,1.0,5.445,36.360000000000014,9.207,8.891153770860452,9.207,54.0,4.0,,3.0,,,3.0,,,,1.0,2.0,1.414213562373095,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,-1.0,0.0,0.0,nikolai-gogol,,,,,
vechera-na-khutore-bliz-dikanki. Text/chapter19.xhtml,111.0,1738.0,959.0,659.0,218.0,1439.0,483.0,1174.0,10718.0,8435.0,1761.0,3641.0,511.0,6.375290226935796,60.5743488425134,3.7335034677946055,12.440125391101063,3.7335034677946055,53.57480380265191,1501.0,268.0,409.0,117.0,171.0,909.0,96.0,10.0,118.0,0.5517836593785961,23.003489503639955,16.26592341897738,0.9203002474947765,0.9293500296378371,0.024598311171391662,40.653197409870174,0.8831261101243377,0.8847058823529415,259.171221792923,242.08091731332547,0.9256359942613087,209.79193884642112,1523.141044831387,nikolai-gogol,60.0,59.0,35.0,167.0,8.0
vechera-na-khutore-bliz-dikanki. Text/chapter20.xhtml,71.0,962.0,596.0,384.0,126.0,796.0,293.0,629.0,6050.0,4798.0,971.0,2077.0,276.0,5.810173640596176,59.462391584433846,3.9824901467014158,11.827823515427772,3.9824901467014158,53.46613569148781,845.0,198.0,165.0,45.0,121.0,441.0,70.0,8.0,87.0,0.6195426195426196,19.215811230531,13.587630427109085,0.9302994939028033,0.9338979975839575,0.023364537586318755,42.79990546808664,0.862387732749175,0.8694736842105263,196.84920148089986,217.02043527043526,0.9197224365782132,188.51590538336052,1559.6248622232777,nikolai-gogol,18.0,12.0,10.0,75.0,6.0
vechera-na-khutore-bliz-dikanki. Text/chapter21.xhtml,62.0,812.0,482.0,325.0,82.0,700.0,267.0,515.0,5091.0,3966.0,839.0,1685.0,280.0,4.975818369617034,65.09429207055459,3.208965358334659,10.217636830142855,3.208965358334659,53.12140473542031,693.0,189.0,100.0,50.0,116.0,366.0,38.0,5.0,52.0,0.5935960591133005,16.914883992880675,11.960629174349709,0.9221499813971962,0.9241129579488546,0.02675666590380369,37.37386427723199,0.8801834862385323,0.8762500000000001,218.47588044228016,202.69377980974465,0.9204850482046963,213.8090909090909,1388.520798113115,nikolai-gogol,40.0,27.0,14.0,86.0,2.0
vechera-na-khutore-bliz-dikanki. Text/chapter22.xhtml,163.0,2749.0,1370.0,1159.0,350.0,2253.0,809.0,1794.0,17441.0,13730.0,2781.0,5811.0,907.0,7.105040003392197,57.8674990459442,4.956483228703355,13.005350411875341,4.956483228703355,59.02581641511581,2459.0,660.0,411.0,185.0,361.0,1329.0,106.0,19.0,151.0,0.49836304110585666,26.129626218433046,18.47643588892381,0.9120561775524009,0.9254765689455832,0.025571199226591738,39.10649598944465,0.8891111111111407,0.8929629629629632,266.03386152242456,269.61395396565104,0.9261067453096724,218.4825312355391,1423.4650735908012,nikolai-gogol,81.0,58.0,40.0,331.0,25.0
vechera-na-khutore-bliz-dikanki. Text/chapter23.xhtml,69.0,1008.0,588.0,406.0,116.0,846.0,277.0,685.0,6271.0,4979.0,1005.0,2138.0,277.0,6.051792615596963,60.369687715665975,3.978909765355418,11.513398590574125,3.978909765355418,54.88647342995169,868.0,217.0,196.0,87.0,123.0,535.0,33.0,4.0,90.0,0.5833333333333334,18.520259177452132,13.095800853708795,0.9220621667803446,0.9262182177471469,0.025949344892811057,38.53661832815816,0.8678623566214817,0.8610000000000001,178.2779806697708,171.9347338280839,0.9146207645115914,183.55443037974683,1401.6149149844364,nikolai-gogol,38.0,12.0,10.0,131.0,7.0
vechera-na-khutore-bliz-dikanki. Text/chapter24.xhtml,57.0,978.0,579.0,410.0,129.0,806.0,285.0,650.0,6293.0,4914.0,1005.0,2092.0,365.0,7.432501345388008,55.97227262942636,5.22640910558605,13.35045112016882,5.22640910558605,59.08018512539016,854.0,252.0,131.0,70.0,80.0,515.0,39.0,6.0,51.0,0.5920245398773006,18.514378428371746,13.091642536155595,0.9238680624118313,0.9277095418578333,0.025459301198016305,39.278375797601086,0.895199138858987,0.8947368421052632,268.73794748693865,225.337627310624,0.9326496141250175,257.4100215517241,1467.293387222052,nikolai-gogol,37.0,36.0,19.0,105.0,6.0
vechera-na-khutore-bliz-dikanki. Text/chapter25.xhtml,216.0,3589.0,1700.0,1346.0,343.0,3073.0,1192.0,2224.0,21856.0,17131.0,3618.0,7078.0,1088.0,5.948313687398741,66.7090981961343,3.5009214633447883,11.19112709571895,3.5009214633447883,54.11922360504835,3287.0,803.0,493.0,241.0,422.0,1566.0,140.0,11.0,210.0,0.4736695458344943,28.376719823098657,20.065371014743786,0.9087125288673407,0.9245266164392556,0.02567880525765155,38.94262174452328,0.8867514124294232,0.8892957746478876,279.21981948066787,290.0979294126465,0.9109980869899191,166.32222566646,1459.7717099436009,nikolai-gogol,37.0,55.0,62.0,388.0,14.0
vechera-na-khutore-bliz-dikanki. Text/chapter27.xhtml,120.0,1033.0,642.0,444.0,142.0,849.0,327.0,664.0,6651.0,5197.0,1026.0,2171.0,366.0,2.9700968860922856,69.33526056792515,2.8685581195546916,9.66750660687755,2.8685581195546916,51.58994030332365,916.0,261.0,154.0,65.0,130.0,497.0,55.0,2.0,49.0,0.6214908034849952,19.97491166031447,14.124395488610599,0.9314670145595474,0.9356526678523708,0.02273745998139181,43.980286312472614,0.9046747967479722,0.897,318.3394131506924,254.69444693237796,0.937431944892819,274.47373841400616,1511.7596925121845,nikolai-gogol,37.0,31.0,23.0,70.0,11.0
