,n_sents,n_words,n_unique_words,n_long_words,n_complex_words,n_simple_words,n_monosyllable_words,n_polysyllable_words,n_chars,n_letters,n_spaces,n_syllables,n_punctuations,flesch_kincaid_grade,flesch_reading_easy,coleman_liau_index,smog_index,automated_readability_index,lix,,masc,femn,neut,plur,sing,pres,actv,3per,ttr,rttr,cttr,httr,sttr,mttr,dttr,mattr,msttr,mtld,mamtld,hdd,simpson_index,hapax_index,author,1per,2per,futr,past,pssv
foma-gordeev. Text/chapter3.xhtml,693.0,12911.0,4756.0,5091.0,1464.0,10845.0,3818.0,8491.0,81371.0,62485.0,13209.0,26705.0,5670.0,7.638246346979987,58.30491409609333,4.482225154998872,12.900288119801237,4.482225154998872,58.062084156344866,11118.0,3327.0,1725.0,909.0,1389.0,6446.0,569.0,56.0,1088.0,0.3683680582449074,41.856403154269955,29.596946506462285,0.8944971374764313,0.9211310722829222,0.025663802511908727,38.9653871259324,0.892811382366606,0.8911627906976743,289.2827566077481,308.50759974194,0.9247116646078531,206.07006685986133,1508.62077119058,maksim-gorkii,345.0,360.0,212.0,1398.0,69.0
foma-gordeev. Text/chapter4.xhtml,360.0,6668.0,2667.0,2468.0,751.0,5636.0,2146.0,4241.0,41257.0,31675.0,6796.0,13578.0,2782.0,7.35082590148637,60.37491734986337,3.8923609578084424,12.81961084415305,3.8923609578084424,55.534819702726125,5644.0,1496.0,953.0,477.0,831.0,3189.0,344.0,19.0,575.0,0.3999700059988002,32.66067981531922,23.094588175574817,0.8959275537904616,0.9180674978932752,0.027215629236140935,36.743592857006306,0.8780963891826616,0.880902255639098,223.69740549551352,249.80263081034752,0.9171848421044831,185.41226028711327,1510.903146905625,maksim-gorkii,242.0,207.0,79.0,653.0,31.0
foma-gordeev. Text/chapter5.xhtml,129.0,2281.0,1152.0,908.0,266.0,1915.0,646.0,1535.0,14245.0,11069.0,2315.0,4800.0,860.0,7.435947038052806,57.377332174450885,4.297726960839292,12.745649013578197,4.297726960839292,57.489272690816286,1950.0,499.0,356.0,172.0,293.0,1044.0,107.0,9.0,211.0,0.5050416483998247,24.120696071146,17.05590775884705,0.9116552299313588,0.9236464372882811,0.026307764768628398,38.01159120870978,0.8843906810035977,0.8875555555555555,260.9097225040753,258.39561742265016,0.9178898071382539,181.943744752309,1523.0552474955507,maksim-gorkii,41.0,79.0,14.0,255.0,16.0
foma-gordeev. Text/chapter6.xhtml,199.0,2891.0,1284.0,1121.0,330.0,2458.0,924.0,1864.0,18018.0,13850.0,2929.0,5956.0,1236.0,5.567906255594817,64.13184447835857,3.024971381466308,11.435166228485699,3.024971381466308,53.30314839503641,2380.0,493.0,552.0,204.0,406.0,1314.0,159.0,6.0,321.0,0.44413697682462816,23.88036595705398,16.885968705449244,0.8981571308453912,0.9134884694202903,0.02942544179022053,33.984196639397524,0.8852638986629424,0.8828070175438599,222.8680888657134,228.71846570201842,0.9129050521020932,174.49124932124806,1277.0073993405529,maksim-gorkii,92.0,98.0,51.0,335.0,18.0
foma-gordeev. Text/chapter7.xhtml,441.0,6563.0,2479.0,2447.0,670.0,5629.0,2149.0,4150.0,41055.0,30828.0,6793.0,13213.0,3429.0,5.398991992144513,66.49159439660878,2.5391608092574245,10.947504343060821,2.5391608092574245,52.16686447040597,5514.0,1636.0,825.0,375.0,713.0,3156.0,387.0,11.0,598.0,0.3777236020112753,30.600274661936474,21.637661719626173,0.8892285737428589,0.9123540879011357,0.02901976801397997,34.459269264945895,0.8739975437519291,0.8737404580152672,198.1737359461441,218.49365924062855,0.9131312426625584,175.59633528773782,1334.6398956492123,maksim-gorkii,251.0,200.0,125.0,684.0,25.0
foma-gordeev. Text/chapter8.xhtml,145.0,2893.0,1481.0,1250.0,357.0,2394.0,719.0,2032.0,18675.0,14628.0,2928.0,6203.0,1115.0,8.838574347116104,52.03488271332708,6.2091651537003685,13.922637916366906,6.2091651537003685,63.15946696544573,2585.0,712.0,555.0,225.0,387.0,1479.0,118.0,18.0,220.0,0.511925337020394,27.534731233974366,19.469995173692308,0.9159884129838088,0.9293271195113721,0.024271346449698413,41.20084569978299,0.9067018284107237,0.9028070175438601,380.00111373522884,405.6167901821088,0.9268503377091399,202.77644207464857,1464.6448657807605,maksim-gorkii,54.0,34.0,30.0,425.0,24.0
foma-gordeev. Text/chapter9.xhtml,549.0,8274.0,3161.0,3196.0,845.0,7020.0,2480.0,5385.0,51780.0,39494.0,8530.0,16837.0,3748.0,5.649788196879815,64.94343586664924,3.0680692075115843,11.01859816564952,3.0680692075115843,53.698062665192566,7026.0,1842.0,1153.0,531.0,1019.0,3898.0,448.0,34.0,711.0,0.38204012569494805,34.750954480729455,24.572635566028836,0.893332984757683,0.9173964371521894,0.027226840435823973,36.72846294292159,0.88604984802429,0.8842424242424246,261.897568033672,280.3427299798055,0.9211406566572077,197.07713701667004,1431.6645951265389,maksim-gorkii,292.0,245.0,146.0,928.0,44.0
foma-gordeev. Text/chapter10.xhtml,579.0,9577.0,3797.0,3814.0,1233.0,7906.0,2863.0,6276.0,60730.0,47133.0,9753.0,20114.0,3834.0,6.846640896087575,59.107803076166746,4.40809039008073,12.951826596791587,4.40809039008073,56.36516694159492,8316.0,2396.0,1291.0,711.0,1306.0,4536.0,482.0,42.0,801.0,0.39647071107862586,38.7994753826072,27.435372149522067,0.8990791936134837,0.922998787897479,0.025349155758392906,39.44904554341649,0.8932010915196879,0.8916230366492143,310.9569274103776,331.99131582341727,0.9256756571452389,202.35598665513407,1550.4336783316658,maksim-gorkii,261.0,199.0,102.0,992.0,68.0
foma-gordeev. Text/chapter11.xhtml,145.0,2734.0,1459.0,1269.0,388.0,2218.0,724.0,1882.0,18236.0,14251.0,2809.0,6017.0,1171.0,8.714908659788616,50.054914486794644,6.879183104205026,14.512414545391744,6.879183104205026,65.2706808263754,2413.0,604.0,552.0,221.0,284.0,1398.0,111.0,9.0,211.0,0.5336503291880029,27.903330093114267,19.730633926527755,0.9206403233921455,0.9330229701696189,0.023091163584827636,43.306609315134885,0.9092737430167908,0.9092592592592595,402.406004802791,427.4001949861202,0.9315903701324894,222.779427549195,1596.9073332573885,maksim-gorkii,59.0,51.0,30.0,280.0,25.0
foma-gordeev. Text/chapter12.xhtml,465.0,6230.0,2626.0,2486.0,776.0,5141.0,1835.0,4082.0,39642.0,30498.0,6348.0,12993.0,2777.0,5.199488772674709,64.07601399748012,3.3629571273235612,11.471241858545763,3.3629571273235612,53.301541276169765,5406.0,1595.0,863.0,397.0,705.0,3032.0,325.0,25.0,480.0,0.42150882825040126,33.269838938377106,23.5253287223107,0.9011214898315345,0.9219262639985303,0.026058458730822024,38.37525504980066,0.8900404465296994,0.8895161290322583,294.3259566533797,290.054652760778,0.9224848969877174,199.47913025598848,1480.5833002268917,maksim-gorkii,181.0,163.0,83.0,689.0,48.0
